"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S1_R_SO_S","Stade Olympique",1,"R",74949.086,27834.682,79.6196319018405,23.6013992,75128.9968095238,27654.7711904762,75265.502,0,0,136.505,0.182,2757.713,26224.604,94.828,1327.546,4.8
"S1_R_CAS_S","Casernes",1,"R",148703.75,60124.67,56.5089656126118,38.2640326,148883.660809524,59944.7591904762,145907.488,3240.746,2.177,264.573,0.178,54305.69,5486.143,9.152,-152.926,-0.255
"S1_R_DRUEY_S","Druey",1,"R",100823.836,12012.645,53.3866900255872,29.1187886,101003.746809524,11832.7341904762,99804.336,1380.432,1.367,181.021,0.179,11799.512,0,0,-33.222,-0.281
"S1_R_DRCOL_S","Druey-Collège",1,"R",210037.56,28818.477,96.2727918921398,35.883774,210217.470809524,28638.5661904762,210598.595,0,0,381.124,0.181,3034.679,25595.295,89.374,-8.592,-0.03
"S1_R_VAL_S","Valentin",1,"R",45303.96,60278.57,67.9138630890953,31.7710951,45483.8708095238,60098.6591904762,45566.242,0,0,82.371,0.181,59929.921,0,0,-168.738,-0.281
"S1_R_RNEUV_S","Rue Neuve",1,"R",27915.438,381328.84,112.758187961111,65.759867,28095.3488095238,381148.929190476,2814.62,160786.911,572.29,135506.182,482.308,377742.87,2342.488,0.615,-1063.571,-0.279
"S1_R_B-AIR_D","Bel-Air",1,"R",121628.766,283867.7,183.144149793944,72.7082716,121808.676809524,283687.789190476,12202.969,120044.346,98.552,10438.638,8.57,164318.132,118907.397,41.915,-462.26,-0.163
"S1_R_SF_S","St-François",1,"R",198148.1,180230.7,126.400735701465,64.5733322,198328.010809524,180050.789190476,177262.086,21380,10.78,314.075,0.158,84569.144,95243.427,52.898,-238.218,-0.132
"S1_R_GTE_D","Georgette",1,"R",245477.48,66478.25,102.344783263895,70.6902076,245657.390809524,66298.3391904762,230163.863,15911.123,6.477,417.595,0.17,66112.194,0,0,-186.145,-0.281
"S1_R_RASUD_O","Rasude",1,"R",20651.32,37438.43,108.067553509374,22.1875499,20831.2308095238,37258.5191904762,2086.91,21010.166,100.859,2265.845,10.877,6956.418,30282.414,81.276,-19.687,-0.053
