"origin","destination","time"
"LION_G ","CHAVC_N",8912
"LION_G ","MOUN_S ",8397
"LION_G ","BESS_D ",4554
"LION_G ","CX-BL_N",1018
"LION_G ","CHESG_A",7157
"LION_G ","RCFFN_E",8433
"LION_G ","MOLLT_N",1389
"LION_G ","R-HV_O ",7992
"LION_G ","FOUGE_S",4342
"LION_G ","VAL_N  ",5037
"LION_G ","MORGS_O",6045
"LION_G ","RCFFS_Y",8543
"LION_G ","COLLI_N",5249
"LION_G ","VSTCX_O",10753
"LION_G ","MOUSQ_E",4397
"LION_G ","CHLYV_E",3620
"LION_G ","GENOU_E",8101
"LION_G ","BRE_S  ",8655
"LION_G ","BLIJO_O",5406
"LION_G ","CHEVR_N",1637
"LION_G ","EPTES_N",5391
"LION_G ","MONTO_E",3050
"LION_G ","MEZ-V_O",7261
"LION_G ","1-AOU_O",8215
"LION_G ","EPNEX_E",8731
"LION_G ","SEGLI_O",7822
"LION_G ","VIRET_N",4801
"LION_G ","PREPA_M",3704
"LION_G ","VVERT_P",3540
"LION_G ","CIGAL_E",2832
"LION_G ","CHATL_S",7940
"LION_G ","BELVO_B",4179
"LION_G ","ZING_N ",9205
"LION_G ","MPREV_N",4793
"LION_G ","MATHY_N",1175
"LION_G ","VALMT_O",2785
"LION_G ","R-VIL_O",7482
"LION_G ","VULLI_N",8475
"LION_G ","ST-ET_O",3232
"LION_G ","VALMT_E",2768
"LION_G ","GCHEM_N",184
"LION_G ","MEMIS_N",4870
"LION_G ","MAUVE_S",1693
"LION_G ","CHAND_E",4292
"LION_G ","CHBR_F ",8451
"LION_G ","ECHA_B ",10132
"LION_G ","RIP_N  ",4948
"LION_G ","SUVI_N ",10458
"LION_G ","CLERG_O",4601
"LION_G ","CHUV_S ",4132
"LION_G ","JURIG_S",5160
"LION_G ","PAVEM_N",3954
"LION_G ","MALAD_N",6667
"LION_G ","E-HOT_S",1328
"LION_G ","ABEIL_N",3038
"LION_G ","NORD_O ",4453
"LION_G ","CHEVR_S",1630
"LION_G ","PERRL_E",6995
"LION_G ","PIERF_O",5705
"LION_G ","ENCOU_S",10468
"LION_G ","CH_N   ",5425
"LION_G ","FAUCO_E",3435
"LION_G ","BLIEU_O",5564
"LION_G ","MONGE_O",9074
"LION_G ","ETAVZ_N",4069
"LION_G ","BOCHT_N",9658
"LION_G ","GRRU_S ",7231
"LION_G ","GRATT_N",5522
"LION_G ","CX-OR_O",6797
"LION_G ","BESS_N ",4475
"LION_G ","LYGAR_O",6017
"LION_G ","BETHU_E",3810
"LION_G ","COLLI_S",5253
"LION_G ","SANSY_O",10410
"LION_G ","COPOZ_S",4132
"LION_G ","CHAVP_D",8730
"LION_G ","LEMAN_E",4549
"LION_G ","BASS_R ",9321
"LION_G ","CNAX_O ",7978
"LION_G ","APER_N ",9310
"LION_G ","CAS_W  ",5059
"LION_G ","GTE_S  ",4770
"LION_G ","MLIN_N ",5183
"LION_G ","BARRE_N",4592
"LION_G ","CX-OY_N",5477
"LION_G ","CHT_S  ",1562
"LION_G ","CHASS_S",6510
"LION_G ","CROCH_F",9224
"LION_G ","VVERT_D",3540
"LION_G ","SF_B   ",4895
"LION_G ","M-DUF_N",5783
"LION_G ","BAUM_N ",7706
"LION_G ","LION_N ",219
"LION_G ","PONFI_E",5406
"LION_G ","CLOSY_S",9616
"LION_G ","RUSEL_E",9379
"LION_G ","VLARS_S",9424
"LION_G ","ARGAN_N",8819
"LION_G ","PLANT_O",8955
"LION_G ","MOLLT_S",1378
"LION_G ","RAPIL_N",6207
"LION_G ","FLON_N ",4902
"LION_G ","BESS_B ",4482
"LION_G ","ECORC_E",6476
"LION_G ","CRAIV_S",2614
"LION_G ","DOLE_E ",8102
"LION_G ","LIAUD_N",4070
"LION_G ","BRETI_N",5499
"LION_G ","PREYV_S",1208
"LION_G ","PECH_E ",6159
"LION_G ","RUSEL_O",9371
"LION_G ","PRY_D  ",7098
"LION_G ","SORGE_F",8789
"LION_G ","PAVIL_O",3832
"LION_G ","ECHER_E",5254
"LION_G ","L-CHA_N",2708
"LION_G ","MAROL_N",3623
"LION_G ","ENJAL_N",9885
"LION_G ","BLIJO_M",5331
"LION_G ","ECRO_E ",9837
"LION_G ","PCHLY_B",3274
"LION_G ","CDESU_N",4921
"LION_G ","GTE_E  ",4740
"LION_G ","R-CFF_F",8700
"LION_G ","VIGNE_O",5108
"LION_G ","PRY-C_S",6764
"LION_G ","MORP_E ",5995
"LION_G ","EGLAN_E",4552
"LION_G ","PPORT_O",5248
"LION_G ","CDRAI_O",6436
"LION_G ","RASUD_O",5022
"LION_G ","PUBLO_E",3211
"LION_G ","BNEN_E ",7613
"LION_G ","FLORI_O",7242
"LION_G ","PBOU_E ",7486
"LION_G ","ARC-C_O",9365
"LION_G ","MOULN_E",8353
"LION_G ","FOYER_E",2478
"LION_G ","BLVDR_E",5765
"LION_G ","AUBER_N",7606
"LION_G ","PMONT_N",4105
"LION_G ","VENOS_E",10481
"LION_G ","SAVOI_N",5132
"LION_G ","RCFFN_N",8401
"LION_G ","JOLTT_E",5079
"LION_G ","FLON_E ",5110
"LION_G ","DENAN_E",5613
"LION_G ","BOCHT_S",9657
"LION_G ","SERV_N ",7708
"LION_G ","CHAVP_B",8761
"LION_G ","LISIE_N",4199
"LION_G ","CHT_N  ",1270
"LION_G ","CDESO_O",5069
"LION_G ","EPFL_R ",9490
"LION_G ","THLA_T ",5705
"LION_G ","RAVES_E",2938
"LION_G ","SAVOI_S",5125
"LION_G ","GBORD_S",5016
"LION_G ","HERMI_S",4510
"LION_G ","MTBLC_S",5277
"LION_G ","MARTH_S",7567
"LION_G ","CAVEN_S",5179
"LION_G ","BRESS_N",11355
"LION_G ","CROIS_D",1858
"LION_G ","RNEUV_N",5157
"LION_G ","BALAN_N",4074
"LION_G ","MLINE_O",8353
"LION_G ","CAROU_N",7795
"LION_G ","OSCHE_N",5150
"LION_G ","CECIL_S",5444
"LION_G ","BELMT_O",4237
"LION_G ","CHISA_S",8801
"LION_G ","CERIS_F",9115
"LION_G ","METAI_E",5413
"LION_G ","TIVOL_O",5453
"LION_G ","DRANS_N",5941
"LION_G ","PMOL_O ",5871
"LION_G ","TIMON_O",9144
"LION_G ","BRULE_O",5207
"LION_G ","PT-CH_S",5420
"LION_G ","COPOP_N",4232
"LION_G ","PMOL_E ",5871
"LION_G ","GALIC_N",6853
"LION_G ","DTSOL  ",9074
"LION_G ","CAROU_S",7818
"LION_G ","PLY-G_1",4790
"LION_G ","SYENS_N",10693
"LION_G ","COPOP_S",4241
"LION_G ","GTE_N  ",4769
"LION_G ","PLANC_N",1418
"LION_G ","VEILL_N",9318
"LION_G ","FROIC_N",5194
"LION_G ","TVIDY_O",6507
"LION_G ","SCBT_O ",7010
"LION_G ","BRGES_E",8632
"LION_G ","TNEL_U ",4728
"LION_G ","WLIAM_N",5522
"LION_G ","PBESS_S",4517
"LION_G ","CIGAL_O",2851
"LION_G ","SALA_D ",3520
"LION_G ","MORRE_O",6240
"LION_G ","ROUVN_E",4340
"LION_G ","PREAU_E",4872
"LION_G ","MTETN_O",6188
"LION_G ","BUYE_N ",9652
"LION_G ","RTTAZ_N",4210
"LION_G ","BORJO_E",7783
"LION_G ","MTILL_D",4547
"LION_G ","PQUI_N ",4320
"LION_G ","VIRET_S",4810
"LION_G ","ECCV_O ",9354
"LION_G ","CUGYP_S",5208
"LION_G ","STAND_S",9559
"LION_G ","PMONT_S",4096
"LION_G ","E-HOT_N",1257
"LION_G ","BVE_O  ",6183
"LION_G ","RUISE_O",4377
"LION_G ","VULET_N",937
"LION_G ","TVIDY_E",6471
"LION_G ","PERET_E",9715
"LION_G ","LION_S ",290
"LION_G ","BUDR_N ",4813
"LION_G ","MARTI_N",4348
"LION_G ","CNIER_E",5386
"LION_G ","SCBT_E ",6984
"LION_G ","PSPOR_N",9536
"LION_G ","RCFFS_B",8362
"LION_G ","VBOIS_N",962
"LION_G ","CNAX_E ",7823
"LION_G ","CDRAI_B",6478
"LION_G ","SEGLI_E",7776
"LION_G ","BLECH_E",5005
"LION_G ","VRUFF_N",3484
"LION_G ","VELOD_N",5165
"LION_G ","FAVER_E",4885
"LION_G ","GLYCI_O",8688
"LION_G ","PSPOR_S",9561
"LION_G ","OURS_E ",4203
"LION_G ","MLEYO_O",6856
"LION_G ","CDRY_N ",8064
"LION_G ","ROVER_E",2393
"LION_G ","GENOU_O",8178
"LION_G ","SALA_Z ",3519
"LION_G ","STCAT_N",2417
"LION_G ","GGETT_N",4091
"LION_G ","JDILS_N",5664
"LION_G ","SROCH_S",5389
"LION_G ","BETHA_N",6094
"LION_G ","CROIS_C",1852
"LION_G ","P-RIV_O",5842
"LION_G ","TNEL_E ",4765
"LION_G ","FLIEU_E",7495
"LION_G ","SIGNA_N",4043
"LION_G ","BOVRE_S",2218
"LION_G ","GARE_C ",5257
"LION_G ","CHT_D  ",1408
"LION_G ","MGOUL_N",6375
"LION_G ","CHFON_N",1802
"LION_G ","LANDA_P",4808
"LION_G ","BLESS_E",4403
"LION_G ","VCLB_N ",1584
"LION_G ","DPLES_N",5557
"LION_G ","MEZ-S_S",7413
"LION_G ","RIONZ_S",4245
"LION_G ","MBNON_B",4957
"LION_G ","MORRE_P",6225
"LION_G ","PDETT_E",4593
"LION_G ","OIS_N  ",4997
"LION_G ","DRANS_S",5971
"LION_G ","GMONT_N",4210
"LION_G ","PERRL_N",7123
"LION_G ","MUSEO_E",5555
"LION_G ","CERIS_R",9062
"LION_G ","R-PIS_N",7994
"LION_G ","MAROL_S",3641
"LION_G ","SUCHF_S",9025
"LION_G ","MOUD_N ",13064
"LION_G ","RENGE_S",10079
"LION_G ","MALF_D ",6642
"LION_G ","CASC_S ",3556
"LION_G ","BNIER_O",5714
"LION_G ","SYENS_S",10675
"LION_G ","R-14A_E",8446
"LION_G ","EGLAN_O",4542
"LION_G ","PEREA_E",7002
"LION_G ","SORBI_N",12315
"LION_G ","MLINE_F",8349
"LION_G ","FLON_U ",5088
"LION_G ","SCIO_E ",7103
"LION_G ","COLL_O ",9401
"LION_G ","BOVRE_N",2115
"LION_G ","VINET_E",5231
"LION_G ","BESS_M ",4563
"LION_G ","BERG_O ",5700
"LION_G ","BELMT_E",4305
"LION_G ","CX-OR_E",6778
"LION_G ","BOTTE_M",6885
"LION_G ","ZING_O ",9221
