"Lines","mean_error","sd_error","param"
2,0.100406708635208,0.0303803572127984,"0"
3,0.290045315470116,0.02765763143913,"0"
4,0.653564680237491,0.193287388200587,"0"
5,0.963407974502903,0.218468380637825,"0"
6,1.1726398702766,0.181802295787534,"0"
7,1.37876649149658,0.167468261058278,"0"
8,1.42260115888504,0.144446287567288,"0"
2,0.100406708635208,0.0303803572127984,"0.1"
3,0.265941932037194,0.0279623551862455,"0.1"
4,0.378478941569494,0.0333087499481812,"0.1"
5,0.514514956474059,0.0288347940767887,"0.1"
6,0.670244380324599,0.0292314325225957,"0.1"
7,0.848287747521169,0.0190008300160065,"0.1"
8,1.08439116960911,0.0216192081558144,"0.1"
2,0.0999512855286768,0.0299565839534929,"0.2"
3,0.249252531275287,0.0306694849567655,"0.2"
4,0.394693153137656,0.0314782489472365,"0.2"
5,0.533307066975229,0.0292287858190896,"0.2"
6,0.689860068185387,0.0264522743827134,"0.2"
7,0.875176259694635,0.0173211941806724,"0.2"
8,1.10787384049201,0.0206185053873001,"0.2"
2,0.0833565863935598,0.0306475932126461,"0.3"
3,0.298196211710834,0.0329206126399599,"0.3"
4,0.444888636570851,0.0300130343069846,"0.3"
5,0.577590172559247,0.0270100735218058,"0.3"
6,0.737727681747698,0.0228748202231919,"0.3"
7,0.922152550272725,0.016724349758932,"0.3"
8,1.14566850765071,0.020972906596998,"0.3"
2,0.148508210599579,0.0241187407669591,"0.4"
3,0.3988180747959,0.0311451711660092,"0.4"
4,0.527597076259192,0.0253026592654822,"0.4"
5,0.660132849387246,0.0239347293986105,"0.4"
6,0.81946242820048,0.0216993480765749,"0.4"
7,0.993240700047456,0.0175391002108731,"0.4"
8,1.20486278491141,0.0227013353000327,"0.4"
2,0.317870427563611,0.0217433098022701,"0.5"
3,0.5500779710923,0.0276052377213881,"0.5"
4,0.67088205672808,0.0234041280766425,"0.5"
5,0.797165153958012,0.0225465508934491,"0.5"
6,0.941505180640012,0.0222270606183647,"0.5"
7,1.10707738684115,0.020294501735769,"0.5"
8,1.30759984640939,0.0249442547026144,"0.5"
2,0.495144364585183,0.0230347055759369,"0.6"
3,0.751799094362494,0.0251469845722741,"0.6"
4,0.892210289290674,0.0243054844904195,"0.6"
5,1.01335386267051,0.0230713626930102,"0.6"
6,1.15261716726253,0.0252568408711062,"0.6"
7,1.31871114067571,0.0245638551204262,"0.6"
8,1.51174981144124,0.0260204364114975,"0.6"
2,0.672288394245074,0.0246676832713781,"0.7"
3,0.981523699903318,0.0268920631960981,"0.7"
4,1.16021219385136,0.0268632767226978,"0.7"
5,1.29495389339188,0.0260816878934469,"0.7"
6,1.43940800520429,0.0269749792776316,"0.7"
7,1.60230529502663,0.0266431866289352,"0.7"
8,1.78066688841199,0.0282945208818644,"0.7"
2,0.849433324894075,0.0264463228103088,"0.8"
3,1.22607367909232,0.0288985194602264,"0.8"
4,1.44590674232773,0.0292879943253256,"0.8"
5,1.60064057122221,0.0285093298707215,"0.8"
6,1.75267952978916,0.0283608733625955,"0.8"
7,1.9059226366731,0.0277717735871029,"0.8"
8,2.06308843127526,0.0295715970356682,"0.8"
2,1.02669892348442,0.0283654132158613,"0.9"
3,1.46946143566304,0.0312006255266945,"0.9"
4,1.74632948291087,0.0309175625109905,"0.9"
5,1.92405309626181,0.0309400234422121,"0.9"
6,2.08186417009018,0.0307235029368276,"0.9"
7,2.21462200315085,0.030187532067207,"0.9"
8,2.34401848180068,0.0300264614015671,"0.9"
2,1.20405,0.0303397849534305,"1"
3,1.70150716884745,0.0336201713113774,"1"
4,2.0456980200255,0.0330358959609541,"1"
5,2.25562152736658,0.0339766246527126,"1"
6,2.41243800876135,0.0336443246581319,"1"
7,2.51605714240614,0.0330099406722561,"1"
8,2.61336179873818,0.0301851223005517,"1"
