"passengers","mean_error","sd_error","line"
1000,0.138445748975773,0.0106816113133357,2
2000,0.0967800981153133,0.0111979336707413,2
3000,0.0814695037136538,0.00862785425797416,2
4000,0.0795792062651118,0.00716526040749263,2
5000,0.0693116997185848,0.00798464765862953,2
6000,0.0597718671939356,0.00689960767324318,2
7000,0.0505009526801986,0.00661058101639561,2
8000,0.0473467751297695,0.0041520123288417,2
9000,0.0451898602880082,0.00467276882133102,2
10000,0.0409511244474167,0.00460232945578124,2
11000,0.0405116675953152,0.00468077326407504,2
12000,0.0390247894734361,0.00450486861577557,2
13000,0.0392782521516396,0.00428222308195208,2
14000,0.0388277783290394,0.00494368035171142,2
15000,0.0373617198886709,0.00474909504101024,2
16000,0.0350996404562169,0.00431932414891544,2
17000,0.0333683780422279,0.00482228726806928,2
18000,0.0363107716609002,0.00522950702610485,2
19000,0.0343734819518617,0.00481846491080145,2
20000,0.0307249090765171,0.00351332546964986,2
1000,0.33415016674442,0.0101916846221721,3
2000,0.287671915734626,0.00794943206579091,3
3000,0.266957731642387,0.00668114040963335,3
4000,0.264749877415986,0.00761199687637645,3
5000,0.249216552027193,0.00365723138822244,3
6000,0.259724938130155,0.005736897255325,3
7000,0.253896656169697,0.00573269914666751,3
8000,0.24846865429592,0.00503328600717486,3
9000,0.246384711949063,0.00574321238062959,3
10000,0.247666596450743,0.00522564827613686,3
11000,0.238145306966444,0.00428316361991564,3
12000,0.241604867994963,0.00485861556546233,3
13000,0.235167804637448,0.00391459859633132,3
14000,0.239705031501062,0.0031101339022236,3
15000,0.238098306749346,0.00350038080192895,3
16000,0.23527459040951,0.00291604535872583,3
17000,0.242874139983478,0.00380732994277726,3
18000,0.235278873202459,0.00318178855224332,3
19000,0.238870793500731,0.00388891200690336,3
20000,0.240765192993478,0.00340135000361571,3
1000,0.468603508685723,0.0155101168787903,4
2000,0.384735588772376,0.0110099355867488,4
3000,0.350313473931774,0.00919069106337277,4
4000,0.332888659576559,0.00847544674273163,4
5000,0.323342390127172,0.00791258258138085,4
6000,0.315483441082984,0.00749363280975432,4
7000,0.309568589517292,0.0044614083438068,4
8000,0.311218094606376,0.00452327195754883,4
9000,0.30440042055942,0.00404057195770495,4
10000,0.304426985975648,0.0043959545710524,4
11000,0.29771307042275,0.00193045074911841,4
12000,0.297256134490451,0.00661905105060473,4
13000,0.304417543404573,0.00489543225750193,4
14000,0.295855644990597,0.00351680677059689,4
15000,0.295258829377779,0.00430354829729737,4
16000,0.291805200524463,0.00429977580654413,4
17000,0.295330283245057,0.00260075617650854,4
18000,0.300019820467688,0.00366347336287158,4
19000,0.292778138309771,0.00380364327149567,4
20000,0.292171625527648,0.00253378165577791,4
1000,0.689805077985579,0.011057818531608,5
2000,0.531112298454537,0.00952584584834607,5
3000,0.470731803561479,0.00828969266561785,5
4000,0.434465472884303,0.00839687185721746,5
5000,0.409752057459892,0.00745456431257605,5
6000,0.395443712624104,0.00712888953721082,5
7000,0.382016833054969,0.00642527571238957,5
8000,0.371226786462083,0.00589590850418478,5
9000,0.364628091373606,0.00581389466323283,5
10000,0.35755575905305,0.00577441171083793,5
11000,0.351973814947575,0.00542275696237856,5
12000,0.348336619901838,0.00499987758811348,5
13000,0.343942785043847,0.00478278096728217,5
14000,0.339634221956478,0.00507885701606801,5
15000,0.336910849306307,0.00497189040995592,5
16000,0.328101214799534,0.00374928837673763,5
17000,0.329901972393033,0.00392508893496274,5
18000,0.325356759042388,0.00316361322015763,5
19000,0.326338150926934,0.00458761471584089,5
20000,0.326286347574018,0.00259133600209854,5
1000,0.905269367223158,0.00884320088944399,6
2000,0.680727493588543,0.00852760604575515,6
3000,0.590645052209634,0.00755520275387401,6
4000,0.534141331911035,0.0067733633708725,6
5000,0.497554586672372,0.00671921717097308,6
6000,0.471735373897273,0.00565993832265594,6
7000,0.452942691676601,0.00537116632142882,6
8000,0.437985645122361,0.00524145058886102,6
9000,0.424341425101304,0.00484552330774659,6
10000,0.415721690497454,0.00457088752164304,6
11000,0.40723352681021,0.00453284754314456,6
