"Lines","mean_error","sd_error","param"
2,0.409686527725239,0.157718877676947,0
3,0.447049881611998,0.056878652118419,0
4,0.748542293333022,0.229028861582162,0
5,0.94239080426412,0.210312828335639,0
6,1.11918416045606,0.185039098019591,0
7,1.24314106963399,0.19537564214369,0
8,1.38471706118632,0.201573089169115,0
2,0.409441827430466,0.15772788107929,0.001
3,0.446401859464518,0.0570625113387301,0.001
4,0.46704943329713,0.0401121636710094,0.001
5,0.486852743845057,0.0282414881248779,0.001
6,0.490023724424583,0.0218144558719475,0.001
7,0.493624923431005,0.0138366619114921,0.001
8,0.518478872738696,0.0134277729776255,0.001
2,0.409327360434611,0.157764480110799,0.002
3,0.446196585851065,0.0570497848777702,0.002
4,0.46683517490514,0.0401096615001938,0.002
5,0.486606675899119,0.0282401053362441,0.002
6,0.48980550141033,0.0218152552422048,0.002
7,0.493477817223226,0.0138069195440961,0.002
8,0.518531878033343,0.0134322626656323,0.002
2,0.409209882034278,0.157800363881986,0.003
3,0.445988877433446,0.0570386095393121,0.003
4,0.466619838759713,0.040108189264068,0.003
5,0.486361567697381,0.0282384902087467,0.003
6,0.489587558251399,0.0218159285524534,0.003
7,0.493332927703807,0.0137791526408362,0.003
8,0.51858633370399,0.013436029070161,0.003
2,0.409092365436345,0.157836576544678,0.004
3,0.445782955521316,0.0570274851213896,0.004
4,0.466404799658146,0.0401055857402879,0.004
5,0.486117315019236,0.0282374962566566,0.004
6,0.489371346524209,0.0218155118281078,0.004
7,0.493189539344946,0.0137529350724589,0.004
8,0.518644032605872,0.0134396384870128,0.004
2,0.408971388971366,0.157876344111796,0.005
3,0.445576874955375,0.0570143206575667,0.005
4,0.466190493006774,0.0401029113263549,0.005
5,0.485874125753655,0.0282358975218091,0.005
6,0.489155428329749,0.0218146999497736,0.005
7,0.493047223304694,0.0137266555332176,0.005
8,0.518703517345273,0.0134429589572987,0.005
2,0.408848303873816,0.157917912574826,0.006
3,0.445370263321618,0.0570016622906184,0.006
4,0.46597461337995,0.0400981693281514,0.006
5,0.485632502351843,0.0282343514377627,0.006
6,0.488941290719161,0.0218140917669135,0.006
7,0.492904964495273,0.0137008712580771,0.006
8,0.518765237033293,0.0134459044532817,0.006
2,0.408725418249093,0.157959615811295,0.007
3,0.445162670225732,0.0569881797874879,0.007
4,0.465756462900386,0.0400945147020797,0.007
5,0.485390683476499,0.0282335392865716,0.007
6,0.488729025140978,0.021813371563136,0.007
7,0.492764347381995,0.0136753941370385,0.007
8,0.518828924691018,0.0134473513988994,0.007
2,0.408601980818595,0.158001604207494,0.008
3,0.444954542835107,0.0569752986043321,0.008
4,0.465538948082727,0.0400906561285016,0.008
5,0.485148414343146,0.0282326125629537,0.008
6,0.48851835239542,0.0218126596678623,0.008
7,0.492626002137945,0.0136504331497973,0.008
8,0.518895457303736,0.0134477232917138,0.008
2,0.408471112086016,0.158047862716716,0.009
3,0.444747540357206,0.0569624485783509,0.009
4,0.465320620383055,0.0400872898091969,0.009
5,0.484905585151395,0.0282309351566647,0.009
6,0.488308648322954,0.0218114828108969,0.009
7,0.492489821728533,0.0136247522270592,0.009
8,0.518964200982816,0.0134469797337524,0.009
2,0.408338891101283,0.158094700730846,0.01
3,0.444538913296084,0.0569518835777983,0.01
4,0.465101899385601,0.0400838216221175,0.01
5,0.48466350681334,0.0282300046110937,0.01
6,0.488100322543433,0.0218097946981848,0.01
7,0.492357813056633,0.0135994852112524,0.01
8,0.5190353626522,0.0134464986568082,0.01
