"Lines","mean_error","sd_error","param"
2,0.39879459164136,0.0622358537294147,"0.001"
3,0.409655608284844,0.0146844903245813,"0.001"
4,0.391430923623482,0.0135610214748871,"0.001"
5,0.399189722208586,0.00940891853464747,"0.001"
6,0.39233924554957,0.00598891188697295,"0.001"
7,0.380782152668787,0.00295859436947545,"0.001"
8,0.377210102045192,0.00267112104645321,"0.001"
2,0.398653691665529,0.0622576274498876,"0.002"
3,0.40945731074499,0.0146894039279844,"0.002"
4,0.391263424352432,0.0135482086054453,"0.002"
5,0.399067627287014,0.00939392815118512,"0.002"
6,0.392216311761073,0.0059911015083212,"0.002"
7,0.380689615741624,0.0029644790682725,"0.002"
8,0.377153849455144,0.00267752194091141,"0.002"
2,0.398513047739892,0.0622793714154039,"0.003"
3,0.409259020823871,0.0146944102316086,"0.003"
4,0.391095788018867,0.013535431611042,"0.003"
5,0.39894667265344,0.00937832822115388,"0.003"
6,0.392094829705901,0.00599324773393701,"0.003"
7,0.380597784185495,0.00297034221761355,"0.003"
8,0.377098257376409,0.0026841235214578,"0.003"
2,0.398373740568226,0.0623008176372185,"0.004"
3,0.409060730937954,0.014699511952712,"0.004"
4,0.390928061924883,0.0135226880488076,"0.004"
5,0.398827125138396,0.00936156224793122,"0.004"
6,0.391971870920207,0.00599467520953239,"0.004"
7,0.38050700186061,0.00297672497166267,"0.004"
8,0.377044476575206,0.002689620929077,"0.004"
2,0.398234443798223,0.0623222962793566,"0.005"
3,0.408866912468123,0.0147045008152238,"0.005"
4,0.39076073409859,0.0135101715556814,"0.005"
5,0.398707954821316,0.0093441697051903,"0.005"
6,0.391849453457585,0.00599636478638047,"0.005"
7,0.380418273886224,0.00298292798084904,"0.005"
8,0.376991231573617,0.00269488375409322,"0.005"
2,0.398095151616487,0.0623438058448143,"0.006"
3,0.40868002631504,0.014709282724166,"0.006"
4,0.390593907251448,0.0134979651160406,"0.006"
5,0.398587721473842,0.00932722072886711,"0.006"
6,0.391726142267181,0.00599849559306286,"0.006"
7,0.380329920311639,0.0029889514947028,"0.006"
8,0.376940406805792,0.00270033902684571,"0.006"
2,0.397955871768383,0.0623653473858128,"0.007"
3,0.408495089752686,0.0147139520253443,"0.007"
4,0.390427027377485,0.0134858035148377,"0.007"
5,0.398463817859064,0.00931164107760235,"0.007"
6,0.391602055044229,0.00600121014631345,"0.007"
7,0.380242149137894,0.00299514511345646,"0.007"
8,0.376890544587265,0.0027057313128459,"0.007"
2,0.397816597558997,0.0623869208750755,"0.008"
3,0.408311846978937,0.0147184772344655,"0.008"
4,0.390260564858613,0.0134736560135135,"0.008"
5,0.398340435110305,0.00929658535901252,"0.008"
6,0.39147615648425,0.00600439417789746,"0.008"
7,0.380152606796218,0.00300196860235167,"0.008"
8,0.376839692058658,0.00271146146514585,"0.008"
2,0.397677327920292,0.0624085251658648,"0.009"
3,0.408129109704218,0.0147229220667657,"0.009"
4,0.390095947487312,0.0134610900429094,"0.009"
5,0.398218456307341,0.00928196838227301,"0.009"
6,0.391348957494806,0.00600767989765027,"0.009"
7,0.380062489164885,0.00300903701613488,"0.009"
8,0.376789181797009,0.00271741817448733,"0.009"
2,0.397538063425527,0.0624301603632999,"0.01"
3,0.407946370062384,0.0147274791046064,"0.01"
4,0.389931319884832,0.0134485507652839,"0.01"
5,0.398097341116598,0.0092673491816223,"0.01"
6,0.391219863420146,0.00601059579770947,"0.01"
7,0.379973748704939,0.00301643557039254,"0.01"
8,0.376739443921858,0.00272377851013208,"0.01"
2,0.396148052156259,0.0626476604330267,"0.02"
3,0.406070026312813,0.0147899300747466,"0.02"
4,0.388251163325136,0.0133267458654292,"0.02"
5,0.396897774638624,0.00912454917649541,"0.02"
6,0.390027206461938,0.00604966885922347,"0.02"
7,0.379159930447943,0.00311354363877318,"0.02"
8,0.376312672605428,0.00279588489664385,"0.02"
2,0.394758990805287,0.0628683708525185,"0.03"
3,0.404324941200247,0.0148560439707591,"0.03"
4,0.386498503241695,0.0132006365489116,"0.03"
5,0.395776342561424,0.00899930266130374,"0.03"
6,0.389055119672103,0.00609157164277409,"0.03"
7,0.378645137051774,0.00325855827977519,"0.03"
8,0.376128394982968,0.00284239843179189,"0.03"
2,0.393363701378612,0.0630940112562139,"0.04"
3,0.402467100900541,0.0148897142676884,"0.04"
4,0.384637523302911,0.0130759985511644,"0.04"
5,0.394744582232199,0.00887501348285617,"0.04"
6,0.388306779125698,0.00611547132145154,"0.04"
7,0.378494979885188,0.00339337897731965,"0.04"
8,0.37632575770045,0.00285332536461618,"0.04"
2,0.391918320417716,0.0633353481734089,"0.05"
3,0.400584009347993,0.0149974478156146,"0.05"
4,0.382733054352554,0.0129603933942676,"0.05"
5,0.39371556774406,0.00878322559308196,"0.05"
6,0.387912532446923,0.006134115002729,"0.05"
7,0.378641825887715,0.00355816349778046,"0.05"
8,0.377035234941614,0.00285163636498849,"0.05"
2,0.390524145342835,0.0635659607362658,"0.06"
3,0.398655232538851,0.015137842571309,"0.06"
4,0.381036019814664,0.0129040277749442,"0.06"
5,0.392874614893119,0.0086917640187337,"0.06"
6,0.387838078171985,0.00612983918753725,"0.06"
7,0.379181708014317,0.00373144494854258,"0.06"
8,0.378180213377552,0.00285670184254715,"0.06"
2,0.389363822079547,0.0637346814489673,"0.07"
3,0.396692090363784,0.0153148172172171,"0.07"
4,0.379546579087395,0.0129393193998167,"0.07"
5,0.392236748526968,0.00860912223837467,"0.07"
6,0.387903205707198,0.00607146154761707,"0.07"
7,0.380159653176939,0.00384142780330001,"0.07"
8,0.379705827631562,0.00285644712166216,"0.07"
2,0.3882679199318,0.0638881743578892,"0.08"
3,0.394753094869988,0.0154971926291387,"0.08"
4,0.378091151115069,0.0130407620387174,"0.08"
5,0.391919381599218,0.00853642146813392,"0.08"
6,0.388296126891607,0.00603433187934539,"0.08"
7,0.38156967282898,0.00389073594422798,"0.08"
8,0.38161168545885,0.00287026709901201,"0.08"
2,0.387299015158069,0.064012432243407,"0.09"
3,0.392721306863464,0.0157645810794246,"0.09"
4,0.376798607763614,0.0131618958606648,"0.09"
5,0.391941333507825,0.00850384325909969,"0.09"
6,0.389113378178578,0.00601340398224167,"0.09"
7,0.383355633599027,0.00387273464317692,"0.09"
8,0.383858136534764,0.00288932462165571,"0.09"
2,0.386332485515837,0.0641381711541896,"0.1"
3,0.390822631814278,0.0160597590674331,"0.1"
4,0.375817531329961,0.0131256558057224,"0.1"
5,0.392187476858759,0.00854548503882721,"0.1"
6,0.390268569038973,0.00597194097673133,"0.1"
7,0.385453948367809,0.00383842318049885,"0.1"
8,0.386398438995151,0.00290216325258529,"0.1"
2,0.38449121113415,0.0644170142873427,"0.12"
3,0.387187628225973,0.0165286150085362,"0.12"
4,0.374748641663326,0.0129759947953817,"0.12"
5,0.39369647333407,0.00864859251112786,"0.12"
6,0.393510123498919,0.00569310415690142,"0.12"
7,0.390609105232058,0.00379640849925025,"0.12"
8,0.392508179619919,0.00296120862322078,"0.12"
2,0.382901166920629,0.0647473772639266,"0.14"
3,0.38400419673756,0.0169274214730384,"0.14"
4,0.374682577698547,0.0127252789331605,"0.14"
5,0.396958983898076,0.0087389557698075,"0.14"
6,0.397736553760693,0.00538750519960001,"0.14"
7,0.396946339615048,0.00380614058921238,"0.14"
8,0.399860301120096,0.00300029213427364,"0.14"
2,0.381109215365376,0.0650851829334453,"0.16"
3,0.381077967772324,0.0171594178305169,"0.16"
4,0.3754380624548,0.0124570613451724,"0.16"
5,0.401542265666824,0.00867646856964246,"0.16"
6,0.402871652295519,0.00515201967886273,"0.16"
7,0.404527763613585,0.00381447766887121,"0.16"
8,0.408251855685707,0.00300359648360419,"0.16"
2,0.378522344256201,0.0655228984996536,"0.18"
3,0.378587584977586,0.0173184027865949,"0.18"
4,0.377418402294776,0.0120501350376603,"0.18"
5,0.406977166302801,0.00844179450175918,"0.18"
6,0.409314650251432,0.00490529617390881,"0.18"
