"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"93","PECH_O ","Pêcheurs",2,"R",22,11939.959,50125.613
"94","BVE_O  ","Bellerive",2,"R",23,11682.033,62138.84
"95","TVIDY_O","Théâtre de Vidy",2,"R",24,4102.2476,117710.83
"96","MALL_O ","Maladière-Lac",2,"R",25,4991.678,90443.164
"97","MALL_E ","Maladière-Lac",2,"R",26,0,26366.332
"98","GARE_B ","Lausanne-Gare",3,"A",1,1033231.25,0
"99","VLARD_O","Villard",3,"A",2,36920.91,38711.344
"100","CECIL_N","Cécil",3,"A",3,110232.28,139651.64
"101","CH_N   ","Chauderon",3,"A",4,343558.22,370470.2
"102","SROCH_N","St-Roch",3,"A",5,57578.855,102156.984
"103","BLIJO_M","Beaulieu-Jomini",3,"A",6,103905.33,170222.89
"104","MTBLC_N","Mont-Blanc",3,"A",7,12693.604,156618.38
"105","CAS_N  ","Casernes",3,"A",8,47983.63,163663.92
"106","ROUVR_N","Rouvraie",3,"A",9,24907.701,125987.45
"107","MOTTE_N","Motte",3,"A",10,10021.754,95708.086
"108","FORET_N","Forêt",3,"A",11,9975.411,212435.19
"109","BELVO_B","Bellevaux",3,"A",12,0,234427.66
"110","BELVO_B","Bellevaux",3,"R",1,252734.84,0
"111","FORET_S","Forêt",3,"R",2,212403.06,10183.748
"112","MOTTE_S","Motte",3,"R",3,158345.56,18740.52
"113","VMOUL_O","Vieux-Moulin",3,"R",4,65874.75,16141.738
"114","CAS_S  ","Casernes",3,"R",5,128190.08,54767.543
"115","MTBLC_S","Mont-Blanc",3,"R",6,77945.79,12620.643
"116","BLIJO_D","Beaulieu-Jomini",3,"R",7,54805.37,100643.42
"117","SROCH_S","St-Roch",3,"R",8,105110.22,101766.45
"118","PT-CH_S","Pont Chauderon",3,"R",9,261413.56,195913.19
"119","CECIL_S","Cécil",3,"R",10,98043.36,86792.836
"120","VLARD_E","Villard",3,"R",11,7978.6807,46509.875
"121","GARE_B ","Lausanne-Gare",3,"R",12,0,761615.6
"122","PLY-G_1","Pully, gare",4,"A",1,235461.64,0
"123","PREAU_O","Préau",4,"A",2,29901.621,2572.1187
"124","JOLTT_O","Joliette",4,"A",3,53890.668,12373.669
"125","RAMUZ_O","C. F. Ramuz",4,"A",4,74851.305,32350.633
"126","PPTAY_O","Pierraz-Portay",4,"A",5,57381.305,22312.37
"127","METAI_O","Métairie",4,"A",6,33552.785,18844.943
"128","MTSI_N ","Montchoisi",4,"A",8,162251.98,42437.58
"129","JURIG_N","Jurigoz",4,"A",9,61188.15,18239.934
"130","ALPES_N","Alpes",4,"A",10,58172.203,31740.64
"131","GTE_N  ","Georgette",4,"A",11,78700.2,100818.06
"132","SF_O   ","St-François",4,"A",12,211416.66,274651.25
"133","B-AIR_O","Bel-Air",4,"A",13,306389.6,152759.66
"134","CH_O   ","Chauderon",4,"A",14,315895.4,121680.69
"135","ECOMM_N","Ecole Commerce",4,"A",15,39258.508,167715.39
"136","AUBEP_N","Aubépines",4,"A",16,21310.957,127433.91
"137","DRANS_N","Dranse",4,"A",17,14467.122,124142.29
"138","BETHA_N","Béthanie",4,"A",18,6899.536,156102.2
"139","RAPIL_N","Rapille",4,"A",19,2450.025,109997.266
"140","MGOUL_N","Mont-Goulin",4,"A",21,1075.6018,81643.33
"141","CDRAI_N","Coudraie",4,"A",22,0,168540.44
"142","CDRAI_N","Coudraie",4,"R",1,131503.77,0
"143","CDRAI_B","Coudraie",4,"R",2,52520.938,1895.5261
"144","MGOUL_S","Mont-Goulin",4,"R",3,75860.875,1612.5588
"145","RAPIL_S","Rapille",4,"R",5,106390.86,4781.207
"146","BETHA_S","Béthanie",4,"R",6,123994.8,10185.694
"147","DRANS_S","Dranse",4,"R",7,124927.32,18156.021
"148","ECOMM_S","Ecole Commerce",4,"R",8,90554.24,47500.52
"149","SROCH_E","St-Roch",4,"R",9,38361.555,86444.93
"150","ALE_O  ","Chauderon-Ale",4,"R",10,29686.596,147982.84
"151","B-AIR_C","Bel-Air",4,"R",11,204399.6,234694.11
"152","SF_S   ","St-François",4,"R",12,247394.58,158141.75
"153","GTE_S  ","Georgette",4,"R",13,91463.34,51441.566
"154","ALPES_S","Alpes",4,"R",14,17339.402,51106.234
"155","JURIG_S","Jurigoz",4,"R",15,6528.1074,72114.055
"156","MTSI_E ","Montchoisi",4,"R",16,45216.047,113382.055
"157","METAI_E","Métairie",4,"R",18,13718.3,27563.852
"158","PPTAY_E","Pierraz-Portay",4,"R",19,13173.636,54975.492
"159","RAMUZ_E","C. F. Ramuz",4,"R",20,22137.889,78748.234
"160","JOLTT_E","Joliette",4,"R",21,7343.424,60141.098
"161","PLY-G_1","Pully, gare",4,"R",24,0,180313.62
"162","MALAD_N","Maladière",6,"A",1,175278.27,0
"163","MTOIE_E","Montoie",6,"A",2,107241.69,9345.043
"164","FIGUI_E","Figuiers",6,"A",3,122777.81,7629.7754
"165","MT-OR_E","Mont d'Or",6,"A",4,80856.8,6038.849
"166","FNAY_N ","Fontenay",6,"A",5,114860.484,9123.106
