"","code_ligne_theo","direction_voy_theo","code_arret_theo","libelle_arret_theo2","sequence_theo","montees","descentes","geom_arret","lon","lat","code_arret_suiv_theo","mean_travel_time","mean_waiting_time","id"
"1",1,"A","MALAD_N","Maladière",1,164558.14,0,"c(6.60486888885498, 46.517520904541)",6.60486888885498,46.517520904541,"MTOIE_E",90.3112916908514,426.9982799,"1_A_MALAD_N"
"2",1,"A","MTOIE_E","Montoie",2,136236.45,12705.396,"c(6.60879516601562, 46.5181350708008)",6.60879516601562,46.5181350708008,"BATEL_E",83.5486188584944,35.4313747,"1_A_MTOIE_E"
"3",1,"A","BATEL_E","Batelière",3,203045.03,13408.982,"c(6.61275720596313, 46.5163726806641)",6.61275720596313,46.5163726806641,"RTCOU_E",59.2910604302419,30.7762506,"1_A_BATEL_E"
"4",1,"A","RTCOU_E","Riant-Cour",4,156015.31,24909.402,"c(6.61647081375122, 46.515510559082)",6.61647081375122,46.515510559082,"CEDRE_E",56.8912267392565,31.8969919,"1_A_RTCOU_E"
"5",1,"A","CEDRE_E","Cèdres",5,164056.86,13870.56,"c(6.61914110183716, 46.5147476196289)",6.61914110183716,46.5147476196289,"BGARD_E",82.071834961025,44.5824892,"1_A_CEDRE_E"
"6",1,"A","BGARD_E","Beauregard",6,186592.9,33794.758,"c(6.62364482879639, 46.5124778747559)",6.62364482879639,46.5124778747559,"COUR_N",64.187337166472,37.2596766,"1_A_BGARD_E"
"7",1,"A","COUR_N","Cour",7,90915.1,35646.535,"c(6.62587118148804, 46.5126647949219)",6.62587118148804,46.5126647949219,"DPLES_N",43.4625960372018,31.0705013,"1_A_COUR_N"
"8",1,"A","DPLES_N","Dapples",8,64682.2,23981.102,"c(6.62555599212646, 46.5144882202148)",6.62555599212646,46.5144882202148,"EPTES_N",66.194693044434,28.3212922,"1_A_DPLES_N"
"9",1,"A","EPTES_N","Epinettes",9,96457.59,52692.742,"c(6.62588405609131, 46.5161170959473)",6.62588405609131,46.5161170959473,"GARE_N",128.645801697186,45.161833,"1_A_EPTES_N"
"10",1,"A","GARE_N","Lausanne-Gare",10,808822.4,597259.1,"c(6.62902021408081, 46.5172729492188)",6.62902021408081,46.5172729492188,"MIRAB_N",126.641971495389,83.9685379,"1_A_GARE_N"
"11",1,"A","MIRAB_N","Mirabeau",11,51382.758,71936.69,"c(6.634850025177, 46.5169372558594)",6.634850025177,46.5169372558594,"GTE_N",98.6104213446044,32.5221286,"1_A_MIRAB_N"
"12",1,"A","GTE_N","Georgette",12,107652.36,464362.8,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,"SF_O",165.94081394581,63.1915863,"1_A_GTE_N"
"13",1,"A","SF_O","St-François",13,265922.03,314327.84,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,"B-AIR_N",140.827136465324,75.9566174,"1_A_SF_O"
"14",1,"A","B-AIR_N","Bel-Air",14,462329.94,223589.14,"c(6.62915277481079, 46.5223045349121)",6.62915277481079,46.5223045349121,"RNEUV_N",115.47000156533,75.3161521,"1_A_B-AIR_N"
"15",1,"A","RNEUV_N","Rue Neuve",15,511095.16,99291.81,"c(6.6308970451355, 46.523323059082)",6.6308970451355,46.523323059082,"VAL_N",69.7816710992908,79.864678,"1_A_RNEUV_N"
"16",1,"A","VAL_N","Valentin",16,93568.21,121368.72,"c(6.63141298294067, 46.5245513916016)",6.63141298294067,46.5245513916016,"DRCOL_N",85.8349952039974,42.813134,"1_A_VAL_N"
"17",1,"A","DRCOL_N","Druey-Collège",17,42125.086,402685.06,"c(6.63079690933228, 46.5282707214355)",6.63079690933228,46.5282707214355,"OIS_N",64.5148421969579,41.601151,"1_A_DRCOL_N"
"18",1,"A","OIS_N","Oiseaux",18,50781.453,275775.9,"c(6.62955904006958, 46.5308952331543)",6.62955904006958,46.5308952331543,"CAS_W",78.2546638897505,37.4729401,"1_A_OIS_N"
"19",1,"A","CAS_W","Casernes",19,68663.95,175742.62,"c(6.62766408920288, 46.5320625305176)",6.62766408920288,46.5320625305176,"SO_N",52.2414404432133,37.0078433,"1_A_CAS_W"
"20",1,"A","SO_N","Stade Olympique",20,14205.844,128369.91,"c(6.62598991394043, 46.5341644287109)",6.62598991394043,46.5341644287109,"VELOD_N",48.7702942219071,28.555169,"1_A_SO_N"
"21",1,"A","VELOD_N","Parc Vélodrome",21,3997.4219,142700.69,"c(6.623703956604, 46.5362167358398)",6.623703956604,46.5362167358398,"BGENT_N",58.3522022332506,28.07134,"1_A_VELOD_N"
"22",1,"A","BGENT_N","Bois-Gentil",22,4931.1157,248882.31,"c(6.62224578857422, 46.538688659668)",6.62224578857422,46.538688659668,"BLECH_E",102.737432645187,33.507843,"1_A_BGENT_N"
"23",1,"A","BLECH_E","Blécherette",23,0,279523.4,"c(6.62103223800659, 46.5422172546387)",6.62103223800659,46.5422172546387,NA,NA,16.313502,"1_A_BLECH_E"
"24",1,"R","BLECH_E","Blécherette",1,312235.28,0,"c(6.62103223800659, 46.5422172546387)",6.62103223800659,46.5422172546387,"BGENT_S",122.11643157919,318.2832846,"1_R_BLECH_E"
"25",1,"R","BGENT_S","Bois-Gentil",2,220668.67,10466.658,"c(6.62222290039062, 46.5385093688965)",6.62222290039062,46.5385093688965,"VELOD_S",51.6538824341424,37.7676661,"1_R_BGENT_S"
"26",1,"R","VELOD_S","Parc Vélodrome",3,130089.84,12243.911,"c(6.62345504760742, 46.5363121032715)",6.62345504760742,46.5363121032715,"SO_S",60.462326245052,32.1864719,"1_R_VELOD_S"
"27",1,"R","SO_S","Stade Olympique",4,74949.086,27834.682,"c(6.62622213363647, 46.533519744873)",6.62622213363647,46.533519744873,"CAS_S",79.6196319018405,23.6013992,"1_R_SO_S"
"28",1,"R","CAS_S","Casernes",5,148703.75,60124.67,"c(6.62811994552612, 46.5312461853027)",6.62811994552612,46.5312461853027,"DRUEY_S",56.5089656126118,38.2640326,"1_R_CAS_S"
"29",1,"R","DRUEY_S","Druey",6,100823.836,12012.645,"c(6.62780284881592, 46.5297775268555)",6.62780284881592,46.5297775268555,"DRCOL_S",53.3866900255872,29.1187886,"1_R_DRUEY_S"
"30",1,"R","DRCOL_S","Druey-Collège",7,210037.56,28818.477,"c(6.63007593154907, 46.5285797119141)",6.63007593154907,46.5285797119141,"VAL_S",96.2727918921398,35.883774,"1_R_DRCOL_S"
"31",1,"R","VAL_S","Valentin",8,45303.96,60278.57,"c(6.63144111633301, 46.5244255065918)",6.63144111633301,46.5244255065918,"RNEUV_S",67.9138630890953,31.7710951,"1_R_VAL_S"
"32",1,"R","RNEUV_S","Rue Neuve",9,27915.438,381328.84,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,"B-AIR_D",112.758187961111,65.759867,"1_R_RNEUV_S"
"34",1,"R","B-AIR_D","Bel-Air",10,121628.766,283867.7,"c(6.62910890579224, 46.5226287841797)",6.62910890579224,46.5226287841797,"SF_S",183.144149793944,72.7082716,"1_R_B-AIR_D"
"35",1,"R","SF_S","St-François",11,198148.1,180230.7,"c(6.6344780921936, 46.5191993713379)",6.6344780921936,46.5191993713379,"GTE_D",126.400735701465,64.5733322,"1_R_SF_S"
"36",1,"R","GTE_D","Georgette",12,245477.48,66478.25,"c(6.63759899139404, 46.5169830322266)",6.63759899139404,46.5169830322266,"RASUD_O",102.344783263895,70.6902076,"1_R_GTE_D"
"37",1,"R","RASUD_O","Rasude",13,20651.32,37438.43,"c(6.63297080993652, 46.5171051025391)",6.63297080993652,46.5171051025391,"GARE_S",108.067553509374,22.1875499,"1_R_RASUD_O"
"38",1,"R","GARE_S","Lausanne-Gare",14,480688.94,345354.56,"c(6.62853384017944, 46.5175590515137)",6.62853384017944,46.5175590515137,"EPTES_S",70.9094162628373,63.9487151,"1_R_GARE_S"
"39",1,"R","EPTES_S","Epinettes",15,42450.266,65209.848,"c(6.6256890296936, 46.5160636901855)",6.6256890296936,46.5160636901855,"DPLES_S",44.945041736227,29.0686658,"1_R_EPTES_S"
"40",1,"R","DPLES_S","Dapples",16,31783.188,59169.383,"c(6.62537097930908, 46.5146751403809)",6.62537097930908,46.5146751403809,"BGARD_S",84.822702438591,27.3412799,"1_R_DPLES_S"
"41",1,"R","BGARD_S","Beauregard",17,37258.9,157524.7,"c(6.62278079986572, 46.5127296447754)",6.62278079986572,46.5127296447754,"CEDRE_O",72.2328591340516,30.4675965,"1_R_BGARD_S"
"42",1,"R","CEDRE_O","Cèdres",18,15224.156,148674.39,"c(6.61898279190063, 46.5148963928223)",6.61898279190063,46.5148963928223,"RTCOU_O",54.0448510864274,29.6351468,"1_R_CEDRE_O"
"43",1,"R","RTCOU_O","Riant-Cour",19,23633.885,132201.36,"c(6.61611795425415, 46.5156059265137)",6.61611795425415,46.5156059265137,"BATEL_O",59.8073110285006,30.6923928,"1_R_RTCOU_O"
