"","code_ligne_theo","direction_voy_theo","code_arret_theo","libelle_arret_theo2","sequence_theo","montees","descentes","geom_arret","lon","lat","code_arret_suiv_theo","mean_travel_time","mean_waiting_time","id"
"44",1,"R","BATEL_O","Batelière",20,13706.721,168884.53,"c(6.61253499984741, 46.5164604187012)",6.61253499984741,46.5164604187012,"MTOIE_O",81.0576710205889,30.7020712,"1_R_BATEL_O"
"45",1,"R","MTOIE_O","Montoie",21,4259.363,128254.875,"c(6.60832023620605, 46.5185279846191)",6.60832023620605,46.5185279846191,"MALAD_N",74.2065790351638,33.4839274,"1_R_MTOIE_O"
"46",1,"R","MALAD_N","Maladière",22,0,146797.58,"c(6.60486888885498, 46.517520904541)",6.60486888885498,46.517520904541,NA,NA,12.6887747,"1_R_MALAD_N"
"47",2,"A","MALL_E","Maladière-Lac",1,111774.47,0,"c(6.60565996170044, 46.5160865783691)",6.60565996170044,46.5160865783691,"TVIDY_E",105.001632342139,418.8543288,"2_A_MALL_E"
"48",2,"A","TVIDY_E","Théâtre de Vidy",2,136311.16,8191.4214,"c(6.6122260093689, 46.5136260986328)",6.6122260093689,46.5136260986328,"BVE_E",83.5544786366206,29.6982101,"2_A_TVIDY_E"
"49",2,"A","BVE_E","Bellerive",3,93917.45,12881.017,"c(6.61773490905762, 46.5112380981445)",6.61773490905762,46.5112380981445,"PECH_E",56.4589457815108,27.3026681,"2_A_BVE_E"
"50",2,"A","PECH_E","Pêcheurs",4,74734.26,11253.272,"c(6.62049913406372, 46.509449005127)",6.62049913406372,46.509449005127,"OUCHY_E",90.5638981743379,58.1848651,"2_A_PECH_E"
"52",2,"A","OUCHY_E","Ouchy-Olympique",5,61026.562,42647.297,"c(6.62592792510986, 46.5071144104004)",6.62592792510986,46.5071144104004,"B-RIV_N",71.7344523763586,45.7845847,"2_A_OUCHY_E"
"53",2,"A","B-RIV_N","Beau-Rivage",6,30680.848,7290.177,"c(6.6276421546936, 46.5083465576172)",6.6276421546936,46.5083465576172,"JDILS_N",45.8032934516918,31.9133706,"2_A_B-RIV_N"
"54",2,"A","JDILS_N","Jordils",7,13322.135,6564.949,"c(6.62855195999146, 46.5102272033691)",6.62855195999146,46.5102272033691,"CX-OY_N",116.052729101594,19.0352502,"2_A_JDILS_N"
"55",2,"A","CX-OY_N","Croix d'Ouchy",8,108658.95,23061.953,"c(6.62974882125854, 46.512134552002)",6.62974882125854,46.512134552002,"MTFLI_N",53.3764544648376,35.1143233,"2_A_CX-OY_N"
"56",2,"A","MTFLI_N","Mont-Fleuri",9,36845.145,19953.344,"c(6.63154077529907, 46.5142860412598)",6.63154077529907,46.5142860412598,"CLOSL_N",55.0455046364736,29.2736947,"2_A_MTFLI_N"
"57",2,"A","CLOSL_N","Closelet",10,121837.33,58235.258,"c(6.63304805755615, 46.5154113769531)",6.63304805755615,46.5154113769531,"MIRAB_N",74.6393729159944,36.4405591,"2_A_CLOSL_N"
"58",2,"A","MIRAB_N","Mirabeau",11,31646.14,32387.04,"c(6.634850025177, 46.5169372558594)",6.634850025177,46.5169372558594,"GTE_N",96.3869859365012,28.1248367,"2_A_MIRAB_N"
"59",2,"A","GTE_N","Georgette",12,74336.62,151193.44,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,"SF_O",164.602815324322,63.2015235,"2_A_GTE_N"
"60",2,"A","SF_O","St-François",13,192400.47,170814.72,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,"B-AIR_N",138.504972344824,75.1757445,"2_A_SF_O"
"61",2,"A","B-AIR_N","Bel-Air",14,234351.44,132294.34,"c(6.62915277481079, 46.5223045349121)",6.62915277481079,46.5223045349121,"RNEUV_N",114.891263654905,74.3004358,"2_A_B-AIR_N"
"62",2,"A","RNEUV_N","Rue Neuve",15,306419.78,61853.07,"c(6.6308970451355, 46.523323059082)",6.6308970451355,46.523323059082,"VAL_N",66.0014622603887,77.7165235,"2_A_RNEUV_N"
"63",2,"A","VAL_N","Valentin",16,42720.914,65873.89,"c(6.63141298294067, 46.5245513916016)",6.63141298294067,46.5245513916016,"VINET_O",71.3239683933275,37.2319953,"2_A_VAL_N"
"64",2,"A","VINET_O","Vinet",17,29010.11,120734.94,"c(6.62812089920044, 46.5268135070801)",6.62812089920044,46.5268135070801,"BLIJO_O",71.8769861336598,36.4996408,"2_A_VINET_O"
"65",2,"A","BLIJO_O","Beaulieu-Jomini",18,53941.887,45158.938,"c(6.62574100494385, 46.5273818969727)",6.62574100494385,46.5273818969727,"BLIEU_O",44.2232945179986,29.4423389,"2_A_BLIJO_O"
"66",2,"A","BLIEU_O","Beaulieu",19,25900.426,100872.625,"c(6.62343406677246, 46.5282287597656)",6.62343406677246,46.5282287597656,"PRBYT_O",48.5668331296818,29.3961291,"2_A_BLIEU_O"
"67",2,"A","PRBYT_O","Presbytère",20,10952.256,127633,"c(6.62104511260986, 46.5293083190918)",6.62104511260986,46.5293083190918,"BERG_O",82.0397918823498,28.1536949,"2_A_PRBYT_O"
"68",2,"A","BERG_O","Bergières",21,129547.88,194187,"c(6.61822986602783, 46.531005859375)",6.61822986602783,46.531005859375,"GREY_O",98.1071988520103,41.4542221,"2_A_BERG_O"
"69",2,"A","GREY_O","Grey",22,18323.748,69685.9,"c(6.61889410018921, 46.5336380004883)",6.61889410018921,46.5336380004883,"PIERF_O",45.858148679526,25.9169036,"2_A_GREY_O"
"70",2,"A","PIERF_O","Pierrefleur",23,13237.568,113232.83,"c(6.6165018081665, 46.5349502563477)",6.6165018081665,46.5349502563477,"P-RIV_O",40.3775144155396,27.0662363,"2_A_PIERF_O"
"71",2,"A","P-RIV_O","Parc Rivier",24,8565.81,158021.52,"c(6.61532020568848, 46.5363273620605)",6.61532020568848,46.5363273620605,"DST_O",73.1158630588485,29.0797173,"2_A_P-RIV_O"
"72",2,"A","DST_O","Désert",25,6718.454,101637.875,"c(6.61229991912842, 46.5403175354004)",6.61229991912842,46.5403175354004,"DST_E",40.0327046709526,33.0069374,"2_A_DST_O"
"73",2,"A","DST_E","Désert",26,0,81859.445,"c(6.61248588562012, 46.539249420166)",6.61248588562012,46.539249420166,NA,NA,10.5416811,"2_A_DST_E"
"74",2,"R","DST_E","Désert",1,176241.5,0,"c(6.61248588562012, 46.539249420166)",6.61248588562012,46.539249420166,"P-RIV_E",77.9380411111701,359.2840942,"2_R_DST_E"
"75",2,"R","P-RIV_E","Parc Rivier",2,129947.13,6347.693,"c(6.61533784866333, 46.5360221862793)",6.61533784866333,46.5360221862793,"PIERF_E",41.8076003188945,33.3445052,"2_R_P-RIV_E"
"76",2,"R","PIERF_E","Pierrefleur",3,71073.06,12045.046,"c(6.61670398712158, 46.5344924926758)",6.61670398712158,46.5344924926758,"GREY_E",33.6112381661525,26.4425724,"2_R_PIERF_E"
"77",2,"R","GREY_E","Grey",4,25189.607,22462.162,"c(6.61861991882324, 46.533634185791)",6.61861991882324,46.533634185791,"BOISY_E",62.2017907433976,21.4288374,"2_R_GREY_E"
"78",2,"R","BOISY_E","Boisy",5,89064.05,15772.279,"c(6.61846494674683, 46.5326728820801)",6.61846494674683,46.5326728820801,"BERG_E",92.9921543681086,33.9189117,"2_R_BOISY_E"
"79",2,"R","BERG_E","Bergières",6,145322.86,41808.336,"c(6.61923313140869, 46.5302200317383)",6.61923313140869,46.5302200317383,"PRBYT_E",48.879691475827,34.0472328,"2_R_BERG_E"
"80",2,"R","PRBYT_E","Presbytère",7,92521.19,12588.893,"c(6.62166309356689, 46.5289344787598)",6.62166309356689,46.5289344787598,"BLIEU_E",45.2201182804254,26.6104485,"2_R_PRBYT_E"
"81",2,"R","BLIEU_E","Beaulieu",8,70528.31,25687.139,"c(6.62414216995239, 46.5279426574707)",6.62414216995239,46.5279426574707,"BLIJO_E",62.7354884943069,26.0645503,"2_R_BLIEU_E"
"82",2,"R","BLIJO_E","Beaulieu-Jomini",9,42953.3,49684.99,"c(6.6260290145874, 46.5272369384766)",6.6260290145874,46.5272369384766,"VINET_E",63.8573632277454,51.8253576,"2_R_BLIJO_E"
"83",2,"R","VINET_E","Vinet",10,52914.89,26141.943,"c(6.6291241645813, 46.5260009765625)",6.6291241645813,46.5260009765625,"VAL_S",55.7699590447317,26.8372563,"2_R_VINET_E"
"84",2,"R","VAL_S","Valentin",11,27385.555,42550.156,"c(6.63144111633301, 46.5244255065918)",6.63144111633301,46.5244255065918,"RNEUV_S",65.7596054135978,29.2070103,"2_R_VAL_S"
"85",2,"R","RNEUV_S","Rue Neuve",12,18549.762,271064,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,"B-AIR_D",110.464672319096,59.1505225,"2_R_RNEUV_S"
"87",2,"R","B-AIR_D","Bel-Air",13,83525.5,144532.06,"c(6.62910890579224, 46.5226287841797)",6.62910890579224,46.5226287841797,"B-AIR_O",54.2971342383107,69.0361052,"2_R_B-AIR_D"
"89",2,"R","SF_S","St-François",14,166546.4,138648.92,"c(6.6344780921936, 46.5191993713379)",6.6344780921936,46.5191993713379,"GTE_D",123.660249725943,65.3042908,"2_R_SF_S"
"90",2,"R","GTE_D","Georgette",15,118564.266,51500.555,"c(6.63759899139404, 46.5169830322266)",6.63759899139404,46.5169830322266,"CLOSL_D",137.233054956897,69.2007968,"2_R_GTE_D"
"92",2,"R","CLOSL_D","Closelet",16,25582.252,67485.09,"c(6.63307094573975, 46.5156631469727)",6.63307094573975,46.5156631469727,"MTFLI_S",45.8409268489829,26.3157597,"2_R_CLOSL_D"
"93",2,"R","MTFLI_S","Mont-Fleuri",17,38861.332,37116.14,"c(6.6318998336792, 46.5146408081055)",6.6318998336792,46.5146408081055,"CX-OY_S",52.136557112069,25.8563654,"2_R_MTFLI_S"
"94",2,"R","CX-OY_S","Croix d'Ouchy",18,12329.658,79903.91,"c(6.62982082366943, 46.5125389099121)",6.62982082366943,46.5125389099121,"JDILS_S",58.9900092557304,30.5271821,"2_R_CX-OY_S"
"95",2,"R","JDILS_S","Jordils",19,2410.4092,18010.947,"c(6.62829303741455, 46.5101051330566)",6.62829303741455,46.5101051330566,"B-RIV_S",52.231169893646,21.0356346,"2_R_JDILS_S"
"96",2,"R","B-RIV_S","Beau-Rivage",20,10269.206,78422.81,"c(6.62750005722046, 46.5082664489746)",6.62750005722046,46.5082664489746,"OUCHY_O",80.071510391098,29.0077993,"2_R_B-RIV_S"
"97",2,"R","OUCHY_O","Ouchy-Olympique",21,135002.4,79233.625,"c(6.62575578689575, 46.5072746276855)",6.62575578689575,46.5072746276855,"PECH_O",100.29613559322,43.6139748,"2_R_OUCHY_O"
"98",2,"R","PECH_O","Pêcheurs",22,11939.958,50125.656,"c(6.61969518661499, 46.5100555419922)",6.61969518661499,46.5100555419922,"BVE_O",59.4319573107969,20.6610712,"2_R_PECH_O"
"99",2,"R","BVE_O","Bellerive",23,11682.031,62138.883,"c(6.616614818573, 46.512092590332)",6.616614818573,46.512092590332,"TVIDY_O",60.25350308053,24.7968742,"2_R_BVE_O"
"100",2,"R","TVIDY_O","Théâtre de Vidy",24,4102.247,117710.83,"c(6.6118688583374, 46.5139846801758)",6.6118688583374,46.5139846801758,"MALAD_O",94.6166666666667,32.0495338,"2_R_TVIDY_O"
"102",2,"R","MALL_O","Maladière-Lac",25,4991.6763,90443.11,"c(6.60499286651611, 46.5162467956543)",6.60499286651611,46.5162467956543,"MALL_E",89.4805162571358,108.1375225,"2_R_MALL_O"
"103",2,"R","MALL_E","Maladière-Lac",26,0,26366.344,"c(6.60565996170044, 46.5160865783691)",6.60565996170044,46.5160865783691,NA,NA,9.0715921,"2_R_MALL_E"
"104",3,"A","GARE_B","Lausanne-Gare",1,1033232,0,"c(6.63003778457642, 46.5172004699707)",6.63003778457642,46.5172004699707,"VLARD_O",142.689821773674,289.5596456,"3_A_GARE_B"
"105",3,"A","VLARD_O","Villard",2,36920.93,38711.336,"c(6.62362909317017, 46.5196266174316)",6.62362909317017,46.5196266174316,"CECIL_N",82.4535014518534,29.4425968,"3_A_VLARD_O"
"106",3,"A","CECIL_N","Cécil",3,110232.266,139651.73,"c(6.62306213378906, 46.520881652832)",6.62306213378906,46.520881652832,"CH_N",131.867819996864,69.9161064,"3_A_CECIL_N"
"107",3,"A","CH_N","Chauderon",4,343558.16,370470.25,"c(6.6251368522644, 46.5241813659668)",6.6251368522644,46.5241813659668,"SROCH_N",58.9013123496811,53.0913605,"3_A_CH_N"
"108",3,"A","SROCH_N","St-Roch",5,57578.906,102157,"c(6.62632608413696, 46.5257263183594)",6.62632608413696,46.5257263183594,"BLIJO_M",103.241347762442,34.2333996,"3_A_SROCH_N"
"109",3,"A","BLIJO_M","Beaulieu-Jomini",6,103905.375,170223,"c(6.62666320800781, 46.5276031494141)",6.62666320800781,46.5276031494141,"MTBLC_N",77.7884992547266,39.7965548,"3_A_BLIJO_M"
"110",3,"A","MTBLC_N","Mont-Blanc",7,12693.612,156618.36,"c(6.62722015380859, 46.5304298400879)",6.62722015380859,46.5304298400879,"CAS_N",73.3322617740839,31.549358,"3_A_MTBLC_N"
"111",3,"A","CAS_N","Casernes",8,47983.64,163663.9,"c(6.62857580184937, 46.532096862793)",6.62857580184937,46.532096862793,"ROUVR_N",94.767696855684,33.9328838,"3_A_CAS_N"
"112",3,"A","ROUVR_N","Rouvraie",9,24907.684,125987.52,"c(6.63181495666504, 46.5325698852539)",6.63181495666504,46.5325698852539,"MOTTE_N",54.1704000628783,35.2282457,"3_A_ROUVR_N"
"113",3,"A","MOTTE_N","Motte",10,10021.749,95708.055,"c(6.63347911834717, 46.5337600708008)",6.63347911834717,46.5337600708008,"FORET_N",58.6252647543341,26.3853127,"3_A_MOTTE_N"
"114",3,"A","FORET_N","Forêt",11,9975.41,212435,"c(6.63342094421387, 46.5358734130859)",6.63342094421387,46.5358734130859,"BELVO_B",83.0408002933012,38.7788615,"3_A_FORET_N"
"115",3,"A","BELVO_B","Bellevaux",12,0,234427.6,"c(6.63398790359497, 46.5389518737793)",6.63398790359497,46.5389518737793,NA,NA,11.6267742,"3_A_BELVO_B"
"116",3,"R","BELVO_B","Bellevaux",1,252734.69,0,"c(6.63398790359497, 46.5389518737793)",6.63398790359497,46.5389518737793,"FORET_S",110.359044635865,411.1804156,"3_R_BELVO_B"
"117",3,"R","FORET_S","Forêt",2,212402.88,10183.737,"c(6.63328790664673, 46.535213470459)",6.63328790664673,46.535213470459,"MOTTE_S",55.8572062315702,37.0819107,"3_R_FORET_S"
"118",3,"R","MOTTE_S","Motte",3,158345.44,18740.543,"c(6.63333320617676, 46.5330543518066)",6.63333320617676,46.5330543518066,"VMOUL_O",76.8848523817178,42.4459174,"3_R_MOTTE_S"
"119",3,"R","VMOUL_O","Vieux-Moulin",4,65874.82,16141.721,"c(6.62962293624878, 46.5335502624512)",6.62962293624878,46.5335502624512,"CAS_S",92.3522792693777,35.4561873,"3_R_VMOUL_O"
"120",3,"R","CAS_S","Casernes",5,128189.805,54767.52,"c(6.62811994552612, 46.5312461853027)",6.62811994552612,46.5312461853027,"MTBLC_S",44.629598618452,35.8148061,"3_R_CAS_S"
"121",3,"R","MTBLC_S","Mont-Blanc",6,77945.8,12620.656,"c(6.62670516967773, 46.5299682617188)",6.62670516967773,46.5299682617188,"BLIJO_D",80.3202385311503,28.6668324,"3_R_MTBLC_S"
"122",3,"R","BLIJO_D","Beaulieu-Jomini",7,54805.312,100643.46,"c(6.62648105621338, 46.5275382995605)",6.62648105621338,46.5275382995605,"SROCH_S",94.4743714113421,46.3427316,"3_R_BLIJO_D"
"123",3,"R","SROCH_S","St-Roch",8,105110.34,101766.305,"c(6.62588882446289, 46.525276184082)",6.62588882446289,46.525276184082,"PT-CH_S",108.860355991297,36.2223067,"3_R_SROCH_S"
"124",3,"R","PT-CH_S","Pont Chauderon",9,261413.34,195913.12,"c(6.62442207336426, 46.5231704711914)",6.62442207336426,46.5231704711914,"CECIL_S",74.2421748020762,37.3147561,"3_R_PT-CH_S"
"125",3,"R","CECIL_S","Cécil",10,98043.35,86792.83,"c(6.62272596359253, 46.5207176208496)",6.62272596359253,46.5207176208496,"VLARD_E",82.6253051581572,31.5195827,"3_R_CECIL_S"
"126",3,"R","VLARD_E","Villard",11,7978.6807,46509.95,"c(6.6255841255188, 46.5187339782715)",6.6255841255188,46.5187339782715,"GARE_B",86.6692150170648,19.3644573,"3_R_VLARD_E"
"128",3,"R","GARE_B","Lausanne-Gare",12,0,761616.3,"c(6.63003778457642, 46.5172004699707)",6.63003778457642,46.5172004699707,NA,NA,10.4995495,"3_R_GARE_B"
"129",4,"A","PLY-G_1","Pully, gare",1,235461.72,0,"c(6.65842819213867, 46.510311126709)",6.65842819213867,46.510311126709,"PREAU_O",40.7554121902499,367.6240518,"4_A_PLY-G_1"
"130",4,"A","PREAU_O","Préau",2,29901.617,2572.1184,"c(6.65609884262085, 46.510139465332)",6.65609884262085,46.510139465332,"JOLTT_O",41.1821887485153,16.5757977,"4_A_PREAU_O"
"131",4,"A","JOLTT_O","Joliette",3,53890.664,12373.682,"c(6.65292310714722, 46.509895324707)",6.65292310714722,46.509895324707,"RAMUZ_O",62.4330795810388,23.3358439,"4_A_JOLTT_O"
"132",4,"A","RAMUZ_O","C. F. Ramuz",4,74851.38,32350.648,"c(6.64805507659912, 46.5095634460449)",6.64805507659912,46.5095634460449,"PPTAY_O",56.4775285448214,24.5990174,"4_A_RAMUZ_O"
"133",4,"A","PPTAY_O","Pierraz-Portay",5,57381.273,22312.393,"c(6.6433801651001, 46.509349822998)",6.6433801651001,46.509349822998,"METAI_O",38.3239581083999,24.2627743,"4_A_PPTAY_O"
"134",4,"A","METAI_O","Métairie",6,33552.812,18844.934,"c(6.64056777954102, 46.5100784301758)",6.64056777954102,46.5100784301758,"MTSI_N",70.8245041221125,19.7549935,"4_A_METAI_O"
"135",4,"A","MTSI_N","Montchoisi",8,162252.02,42437.617,"c(6.63729000091553, 46.511474609375)",6.63729000091553,46.511474609375,"JURIG_N",52.934511491123,39.106005,"4_A_MTSI_N"
"136",4,"A","JURIG_N","Jurigoz",9,61188.203,18239.934,"c(6.63635587692261, 46.5129356384277)",6.63635587692261,46.5129356384277,"ALPES_N",87.1930063454887,60.9359819,"4_A_JURIG_N"
"137",4,"A","ALPES_N","Alpes",10,58172.25,31740.578,"c(6.63689517974854, 46.5152587890625)",6.63689517974854,46.5152587890625,"GTE_N",93.1230325571367,30.6000163,"4_A_ALPES_N"
"138",4,"A","GTE_N","Georgette",11,78700.31,100818.03,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,"SF_O",165.171409214092,64.3807727,"4_A_GTE_N"
"139",4,"A","SF_O","St-François",12,211416.38,274651.47,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,"B-AIR_O",145.940810212323,78.0709037,"4_A_SF_O"
