code_ligne_theo,direction_voy_theo,code_arret_theo,libelle_arret_theo2,sequence_theo,montees,descentes,geom_arret,lon,lat,code_arret_suiv_theo,mean_travel_time,mean_waiting_time
1,A,RNEUV_N,Rue Neuve,15,511095.16,99291.81,"c(6.6308970451355, 46.523323059082)",6.6308970451355,46.523323059082,VAL_N,69.78167109929078,79.8646780
1,A,VAL_N,Valentin,16,93568.21,121368.72,"c(6.63141298294067, 46.5245513916016)",6.63141298294067,46.5245513916016,DRCOL_N,85.83499520399741,42.8131340
1,A,DRCOL_N,Druey-Collège,17,42125.086,402685.06,"c(6.63079690933228, 46.5282707214355)",6.63079690933228,46.5282707214355,OIS_N,64.51484219695786,41.6011510
1,A,OIS_N,Oiseaux,18,50781.453,275775.9,"c(6.62955904006958, 46.5308952331543)",6.62955904006958,46.5308952331543,CAS_W,78.25466388975052,37.4729401
1,A,CAS_W,Casernes,19,68663.95,175742.62,"c(6.62766408920288, 46.5320625305176)",6.62766408920288,46.5320625305176,SO_N,52.2414404432133,37.0078433
1,A,SO_N,Stade Olympique,20,14205.844,128369.91,"c(6.62598991394043, 46.5341644287109)",6.62598991394043,46.5341644287109,VELOD_N,48.77029422190712,28.5551690
1,A,VELOD_N,Parc Vélodrome,21,3997.4219,142700.69,"c(6.623703956604, 46.5362167358398)",6.623703956604,46.5362167358398,BGENT_N,58.35220223325062,28.0713400
1,A,BGENT_N,Bois-Gentil,22,4931.1157,248882.31,"c(6.62224578857422, 46.538688659668)",6.62224578857422,46.538688659668,BLECH_E,102.73743264518704,33.5078430
1,A,BLECH_E,Blécherette,23,0,279523.4,"c(6.62103223800659, 46.5422172546387)",6.62103223800659,46.5422172546387,NA,NA,16.3135020
1,R,BLECH_E,Blécherette,1,312235.28,0,"c(6.62103223800659, 46.5422172546387)",6.62103223800659,46.5422172546387,BGENT_S,122.11643157918958,318.2832846
1,R,BGENT_S,Bois-Gentil,2,220668.67,10466.658,"c(6.62222290039062, 46.5385093688965)",6.62222290039062,46.5385093688965,VELOD_S,51.65388243414241,37.7676661
1,R,VELOD_S,Parc Vélodrome,3,130089.84,12243.911,"c(6.62345504760742, 46.5363121032715)",6.62345504760742,46.5363121032715,SO_S,60.46232624505201,32.1864719
1,R,SO_S,Stade Olympique,4,74949.086,27834.682,"c(6.62622213363647, 46.533519744873)",6.62622213363647,46.533519744873,CAS_S,79.61963190184049,23.6013992
1,R,CAS_S,Casernes,5,148703.75,60124.67,"c(6.62811994552612, 46.5312461853027)",6.62811994552612,46.5312461853027,DRUEY_S,56.50896561261178,38.2640326
1,R,DRUEY_S,Druey,6,100823.836,12012.645,"c(6.62780284881592, 46.5297775268555)",6.62780284881592,46.5297775268555,DRCOL_S,53.386690025587235,29.1187886
1,R,DRCOL_S,Druey-Collège,7,210037.56,28818.477,"c(6.63007593154907, 46.5285797119141)",6.63007593154907,46.5285797119141,VAL_S,96.27279189213978,35.8837740
1,R,VAL_S,Valentin,8,45303.96,60278.57,"c(6.63144111633301, 46.5244255065918)",6.63144111633301,46.5244255065918,RNEUV_S,67.91386308909529,31.7710951
1,R,RNEUV_S,Rue Neuve,9,27915.438,381328.84,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,B-AIR_D,112.75818796111147,65.7598670
1,R,RNEUV_S,Rue Neuve,9,27915.438,381328.84,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,RIP_N,84.53125,65.7598670
1,R,B-AIR_D,Bel-Air,10,121628.766,283867.7,"c(6.62910890579224, 46.5226287841797)",6.62910890579224,46.5226287841797,SF_S,183.14414979394377,72.7082716
1,R,SF_S,St-François,11,198148.1,180230.7,"c(6.6344780921936, 46.5191993713379)",6.6344780921936,46.5191993713379,GTE_D,126.40073570146475,64.5733322
1,R,GTE_D,Georgette,12,245477.48,66478.25,"c(6.63759899139404, 46.5169830322266)",6.63759899139404,46.5169830322266,RASUD_O,102.34478326389504,70.6902076
1,R,RASUD_O,Rasude,13,20651.32,37438.43,"c(6.63297080993652, 46.5171051025391)",6.63297080993652,46.5171051025391,GARE_S,108.06755350937382,22.1875499
1,R,GARE_S,Lausanne-Gare,14,480688.94,345354.56,"c(6.62853384017944, 46.5175590515137)",6.62853384017944,46.5175590515137,EPTES_S,70.90941626283733,63.9487151
1,R,EPTES_S,Epinettes,15,42450.266,65209.848,"c(6.6256890296936, 46.5160636901855)",6.6256890296936,46.5160636901855,DPLES_S,44.94504173622705,29.0686658
1,R,DPLES_S,Dapples,16,31783.188,59169.383,"c(6.62537097930908, 46.5146751403809)",6.62537097930908,46.5146751403809,BGARD_S,84.82270243859104,27.3412799
1,R,BGARD_S,Beauregard,17,37258.9,157524.7,"c(6.62278079986572, 46.5127296447754)",6.62278079986572,46.5127296447754,CEDRE_O,72.23285913405164,30.4675965
1,R,CEDRE_O,Cèdres,18,15224.156,148674.39,"c(6.61898279190063, 46.5148963928223)",6.61898279190063,46.5148963928223,RTCOU_O,54.0448510864274,29.6351468
1,R,RTCOU_O,Riant-Cour,19,23633.885,132201.36,"c(6.61611795425415, 46.5156059265137)",6.61611795425415,46.5156059265137,BATEL_O,59.80731102850062,30.6923928
1,R,BATEL_O,Batelière,20,13706.721,168884.53,"c(6.61253499984741, 46.5164604187012)",6.61253499984741,46.5164604187012,MTOIE_O,81.05767102058888,30.7020712
1,R,MTOIE_O,Montoie,21,4259.363,128254.875,"c(6.60832023620605, 46.5185279846191)",6.60832023620605,46.5185279846191,MALAD_N,74.20657903516381,33.4839274
1,R,MALAD_N,Maladière,22,0,146797.58,"c(6.60486888885498, 46.517520904541)",6.60486888885498,46.517520904541,NA,NA,12.6887747
2,A,MALL_E,Maladière-Lac,1,111774.47,0,"c(6.60565996170044, 46.5160865783691)",6.60565996170044,46.5160865783691,TVIDY_E,105.00163234213892,418.8543288
2,A,TVIDY_E,Théâtre de Vidy,2,136311.16,8191.4214,"c(6.6122260093689, 46.5136260986328)",6.6122260093689,46.5136260986328,BVE_E,83.55447863662063,29.6982101
2,A,BVE_E,Bellerive,3,93917.45,12881.017,"c(6.61773490905762, 46.5112380981445)",6.61773490905762,46.5112380981445,PECH_E,56.45894578151079,27.3026681
2,A,PECH_E,Pêcheurs,4,74734.26,11253.272,"c(6.62049913406372, 46.509449005127)",6.62049913406372,46.509449005127,OUCHY_E,90.56389817433788,58.1848651
2,A,PECH_E,Pêcheurs,4,74734.26,11253.272,"c(6.62049913406372, 46.509449005127)",6.62049913406372,46.509449005127,OUCHY_H,120.51151306663708,58.1848651
2,A,OUCHY_E,Ouchy-Olympique,5,61026.562,42647.297,"c(6.62592792510986, 46.5071144104004)",6.62592792510986,46.5071144104004,B-RIV_N,71.7344523763586,45.7845847
2,A,B-RIV_N,Beau-Rivage,6,30680.848,7290.177,"c(6.6276421546936, 46.5083465576172)",6.6276421546936,46.5083465576172,JDILS_N,45.80329345169175,31.9133706
2,A,JDILS_N,Jordils,7,13322.135,6564.949,"c(6.62855195999146, 46.5102272033691)",6.62855195999146,46.5102272033691,CX-OY_N,116.05272910159351,19.0352502
2,A,CX-OY_N,Croix d'Ouchy,8,108658.95,23061.953,"c(6.62974882125854, 46.512134552002)",6.62974882125854,46.512134552002,MTFLI_N,53.37645446483756,35.1143233
2,A,MTFLI_N,Mont-Fleuri,9,36845.145,19953.344,"c(6.63154077529907, 46.5142860412598)",6.63154077529907,46.5142860412598,CLOSL_N,55.045504636473595,29.2736947
2,A,CLOSL_N,Closelet,10,121837.33,58235.258,"c(6.63304805755615, 46.5154113769531)",6.63304805755615,46.5154113769531,MIRAB_N,74.6393729159944,36.4405591
2,A,MIRAB_N,Mirabeau,11,31646.14,32387.04,"c(6.634850025177, 46.5169372558594)",6.634850025177,46.5169372558594,GTE_N,96.38698593650118,28.1248367
2,A,GTE_N,Georgette,12,74336.62,151193.44,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,SF_O,164.60281532432217,63.2015235
2,A,SF_O,St-François,13,192400.47,170814.72,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,B-AIR_N,138.50497234482373,75.1757445
2,A,B-AIR_N,Bel-Air,14,234351.44,132294.34,"c(6.62915277481079, 46.5223045349121)",6.62915277481079,46.5223045349121,RNEUV_N,114.8912636549046,74.3004358
2,A,RNEUV_N,Rue Neuve,15,306419.78,61853.07,"c(6.6308970451355, 46.523323059082)",6.6308970451355,46.523323059082,VAL_N,66.00146226038869,77.7165235
2,A,VAL_N,Valentin,16,42720.914,65873.89,"c(6.63141298294067, 46.5245513916016)",6.63141298294067,46.5245513916016,VINET_O,71.32396839332748,37.2319953
2,A,VINET_O,Vinet,17,29010.11,120734.94,"c(6.62812089920044, 46.5268135070801)",6.62812089920044,46.5268135070801,BLIJO_O,71.87698613365981,36.4996408
2,A,BLIJO_O,Beaulieu-Jomini,18,53941.887,45158.938,"c(6.62574100494385, 46.5273818969727)",6.62574100494385,46.5273818969727,BLIEU_O,44.22329451799862,29.4423389
2,A,BLIEU_O,Beaulieu,19,25900.426,100872.625,"c(6.62343406677246, 46.5282287597656)",6.62343406677246,46.5282287597656,PRBYT_O,48.566833129681775,29.3961291
2,A,PRBYT_O,Presbytère,20,10952.256,127633,"c(6.62104511260986, 46.5293083190918)",6.62104511260986,46.5293083190918,BERG_O,82.03979188234982,28.1536949
2,A,BERG_O,Bergières,21,129547.88,194187,"c(6.61822986602783, 46.531005859375)",6.61822986602783,46.531005859375,GREY_O,98.10719885201031,41.4542221
2,A,GREY_O,Grey,22,18323.748,69685.9,"c(6.61889410018921, 46.5336380004883)",6.61889410018921,46.5336380004883,PIERF_O,45.85814867952601,25.9169036
2,A,PIERF_O,Pierrefleur,23,13237.568,113232.83,"c(6.6165018081665, 46.5349502563477)",6.6165018081665,46.5349502563477,P-RIV_O,40.37751441553955,27.0662363
2,A,P-RIV_O,Parc Rivier,24,8565.81,158021.52,"c(6.61532020568848, 46.5363273620605)",6.61532020568848,46.5363273620605,DST_O,73.11586305884855,29.0797173
2,A,DST_O,Désert,25,6718.454,101637.875,"c(6.61229991912842, 46.5403175354004)",6.61229991912842,46.5403175354004,DST_E,40.0327046709526,33.0069374
2,A,DST_E,Désert,26,0,81859.445,"c(6.61248588562012, 46.539249420166)",6.61248588562012,46.539249420166,NA,NA,10.5416811
2,R,DST_E,Désert,1,176241.5,0,"c(6.61248588562012, 46.539249420166)",6.61248588562012,46.539249420166,P-RIV_E,77.93804111117012,359.2840942
2,R,P-RIV_E,Parc Rivier,2,129947.13,6347.693,"c(6.61533784866333, 46.5360221862793)",6.61533784866333,46.5360221862793,PIERF_E,41.8076003188945,33.3445052
2,R,PIERF_E,Pierrefleur,3,71073.06,12045.046,"c(6.61670398712158, 46.5344924926758)",6.61670398712158,46.5344924926758,GREY_E,33.61123816615254,26.4425724
2,R,GREY_E,Grey,4,25189.607,22462.162,"c(6.61861991882324, 46.533634185791)",6.61861991882324,46.533634185791,BOISY_E,62.20179074339763,21.4288374
2,R,BOISY_E,Boisy,5,89064.05,15772.279,"c(6.61846494674683, 46.5326728820801)",6.61846494674683,46.5326728820801,BERG_E,92.99215436810856,33.9189117
2,R,BERG_E,Bergières,6,145322.86,41808.336,"c(6.61923313140869, 46.5302200317383)",6.61923313140869,46.5302200317383,PRBYT_E,48.879691475826974,34.0472328
2,R,PRBYT_E,Presbytère,7,92521.19,12588.893,"c(6.62166309356689, 46.5289344787598)",6.62166309356689,46.5289344787598,BLIEU_E,45.22011828042538,26.6104485
2,R,BLIEU_E,Beaulieu,8,70528.31,25687.139,"c(6.62414216995239, 46.5279426574707)",6.62414216995239,46.5279426574707,BLIJO_E,62.73548849430687,26.0645503
2,R,BLIJO_E,Beaulieu-Jomini,9,42953.3,49684.99,"c(6.6260290145874, 46.5272369384766)",6.6260290145874,46.5272369384766,VINET_E,63.85736322774542,51.8253576
2,R,VINET_E,Vinet,10,52914.89,26141.943,"c(6.6291241645813, 46.5260009765625)",6.6291241645813,46.5260009765625,VAL_S,55.769959044731664,26.8372563
2,R,VAL_S,Valentin,11,27385.555,42550.156,"c(6.63144111633301, 46.5244255065918)",6.63144111633301,46.5244255065918,RNEUV_S,65.75960541359781,29.2070103
2,R,RNEUV_S,Rue Neuve,12,18549.762,271064,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,B-AIR_D,110.4646723190956,59.1505225
2,R,RNEUV_S,Rue Neuve,12,18549.762,271064,"c(6.63135194778442, 46.5234146118164)",6.63135194778442,46.5234146118164,RIP_N,96.2,59.1505225
2,R,B-AIR_D,Bel-Air,13,83525.5,144532.06,"c(6.62910890579224, 46.5226287841797)",6.62910890579224,46.5226287841797,B-AIR_O,54.29713423831071,69.0361052
2,R,B-AIR_D,Bel-Air,13,83525.5,144532.06,"c(6.62910890579224, 46.5226287841797)",6.62910890579224,46.5226287841797,SF_S,182.4186654916972,69.0361052
2,R,SF_S,St-François,14,166546.4,138648.92,"c(6.6344780921936, 46.5191993713379)",6.6344780921936,46.5191993713379,GTE_D,123.66024972594316,65.3042908
2,R,GTE_D,Georgette,15,118564.266,51500.555,"c(6.63759899139404, 46.5169830322266)",6.63759899139404,46.5169830322266,CLOSL_D,137.23305495689655,69.2007968
2,R,GTE_D,Georgette,15,118564.266,51500.555,"c(6.63759899139404, 46.5169830322266)",6.63759899139404,46.5169830322266,RASUD_O,101.08150470219437,69.2007968
2,R,CLOSL_D,Closelet,16,25582.252,67485.09,"c(6.63307094573975, 46.5156631469727)",6.63307094573975,46.5156631469727,MTFLI_S,45.84092684898289,26.3157597
2,R,MTFLI_S,Mont-Fleuri,17,38861.332,37116.14,"c(6.6318998336792, 46.5146408081055)",6.6318998336792,46.5146408081055,CX-OY_S,52.13655711206896,25.8563654
2,R,CX-OY_S,Croix d'Ouchy,18,12329.658,79903.91,"c(6.62982082366943, 46.5125389099121)",6.62982082366943,46.5125389099121,JDILS_S,58.990009255730385,30.5271821
2,R,JDILS_S,Jordils,19,2410.4092,18010.947,"c(6.62829303741455, 46.5101051330566)",6.62829303741455,46.5101051330566,B-RIV_S,52.23116989364603,21.0356346
2,R,B-RIV_S,Beau-Rivage,20,10269.206,78422.81,"c(6.62750005722046, 46.5082664489746)",6.62750005722046,46.5082664489746,OUCHY_O,80.07151039109802,29.0077993
2,R,OUCHY_O,Ouchy-Olympique,21,135002.4,79233.625,"c(6.62575578689575, 46.5072746276855)",6.62575578689575,46.5072746276855,PECH_O,100.29613559322034,43.6139748
2,R,PECH_O,Pêcheurs,22,11939.958,50125.656,"c(6.61969518661499, 46.5100555419922)",6.61969518661499,46.5100555419922,BVE_O,59.4319573107969,20.6610712
2,R,BVE_O,Bellerive,23,11682.031,62138.883,"c(6.616614818573, 46.512092590332)",6.616614818573,46.512092590332,TVIDY_O,60.25350308052996,24.7968742
2,R,TVIDY_O,Théâtre de Vidy,24,4102.247,117710.83,"c(6.6118688583374, 46.5139846801758)",6.6118688583374,46.5139846801758,MALAD_O,94.61666666666666,32.0495338
2,R,TVIDY_O,Théâtre de Vidy,24,4102.247,117710.83,"c(6.6118688583374, 46.5139846801758)",6.6118688583374,46.5139846801758,MALL_O,162.62968826772942,32.0495338
2,R,MALL_O,Maladière-Lac,25,4991.6763,90443.11,"c(6.60499286651611, 46.5162467956543)",6.60499286651611,46.5162467956543,MALL_E,89.48051625713576,108.1375225
2,R,MALL_E,Maladière-Lac,26,0,26366.344,"c(6.60565996170044, 46.5160865783691)",6.60565996170044,46.5160865783691,NA,NA,9.0715921
3,A,GARE_B,Lausanne-Gare,1,1033232,0,"c(6.63003778457642, 46.5172004699707)",6.63003778457642,46.5172004699707,VLARD_O,142.68982177367403,289.5596456
3,A,VLARD_O,Villard,2,36920.93,38711.336,"c(6.62362909317017, 46.5196266174316)",6.62362909317017,46.5196266174316,CECIL_N,82.4535014518534,29.4425968
3,A,CECIL_N,Cécil,3,110232.266,139651.73,"c(6.62306213378906, 46.520881652832)",6.62306213378906,46.520881652832,CH_N,131.86781999686406,69.9161064
3,A,CH_N,Chauderon,4,343558.16,370470.25,"c(6.6251368522644, 46.5241813659668)",6.6251368522644,46.5241813659668,SROCH_N,58.901312349681064,53.0913605
3,A,SROCH_N,St-Roch,5,57578.906,102157,"c(6.62632608413696, 46.5257263183594)",6.62632608413696,46.5257263183594,BLIJO_M,103.24134776244247,34.2333996
3,A,BLIJO_M,Beaulieu-Jomini,6,103905.375,170223,"c(6.62666320800781, 46.5276031494141)",6.62666320800781,46.5276031494141,MTBLC_N,77.7884992547266,39.7965548
3,A,MTBLC_N,Mont-Blanc,7,12693.612,156618.36,"c(6.62722015380859, 46.5304298400879)",6.62722015380859,46.5304298400879,CAS_N,73.33226177408395,31.5493580
3,A,CAS_N,Casernes,8,47983.64,163663.9,"c(6.62857580184937, 46.532096862793)",6.62857580184937,46.532096862793,ROUVR_N,94.76769685568397,33.9328838
3,A,ROUVR_N,Rouvraie,9,24907.684,125987.52,"c(6.63181495666504, 46.5325698852539)",6.63181495666504,46.5325698852539,MOTTE_N,54.17040006287825,35.2282457
3,A,MOTTE_N,Motte,10,10021.749,95708.055,"c(6.63347911834717, 46.5337600708008)",6.63347911834717,46.5337600708008,FORET_N,58.625264754334125,26.3853127
3,A,FORET_N,Forêt,11,9975.41,212435,"c(6.63342094421387, 46.5358734130859)",6.63342094421387,46.5358734130859,BELVO_B,83.0408002933012,38.7788615
3,A,BELVO_B,Bellevaux,12,0,234427.6,"c(6.63398790359497, 46.5389518737793)",6.63398790359497,46.5389518737793,NA,NA,11.6267742
3,R,BELVO_B,Bellevaux,1,252734.69,0,"c(6.63398790359497, 46.5389518737793)",6.63398790359497,46.5389518737793,FORET_S,110.3590446358653,411.1804156
3,R,FORET_S,Forêt,2,212402.88,10183.737,"c(6.63328790664673, 46.535213470459)",6.63328790664673,46.535213470459,MOTTE_S,55.85720623157016,37.0819107
3,R,MOTTE_S,Motte,3,158345.44,18740.543,"c(6.63333320617676, 46.5330543518066)",6.63333320617676,46.5330543518066,VMOUL_O,76.88485238171783,42.4459174
3,R,VMOUL_O,Vieux-Moulin,4,65874.82,16141.721,"c(6.62962293624878, 46.5335502624512)",6.62962293624878,46.5335502624512,CAS_S,92.35227926937772,35.4561873
3,R,CAS_S,Casernes,5,128189.805,54767.52,"c(6.62811994552612, 46.5312461853027)",6.62811994552612,46.5312461853027,MTBLC_S,44.62959861845203,35.8148061
3,R,MTBLC_S,Mont-Blanc,6,77945.8,12620.656,"c(6.62670516967773, 46.5299682617188)",6.62670516967773,46.5299682617188,BLIJO_D,80.32023853115028,28.6668324
3,R,BLIJO_D,Beaulieu-Jomini,7,54805.312,100643.46,"c(6.62648105621338, 46.5275382995605)",6.62648105621338,46.5275382995605,SROCH_S,94.47437141134212,46.3427316
3,R,SROCH_S,St-Roch,8,105110.34,101766.305,"c(6.62588882446289, 46.525276184082)",6.62588882446289,46.525276184082,PT-CH_S,108.86035599129684,36.2223067
3,R,PT-CH_S,Pont Chauderon,9,261413.34,195913.12,"c(6.62442207336426, 46.5231704711914)",6.62442207336426,46.5231704711914,CECIL_S,74.24217480207624,37.3147561
3,R,CECIL_S,Cécil,10,98043.35,86792.83,"c(6.62272596359253, 46.5207176208496)",6.62272596359253,46.5207176208496,VLARD_E,82.62530515815723,31.5195827
3,R,VLARD_E,Villard,11,7978.6807,46509.95,"c(6.6255841255188, 46.5187339782715)",6.6255841255188,46.5187339782715,GARE_B,86.66921501706484,19.3644573
3,R,VLARD_E,Villard,11,7978.6807,46509.95,"c(6.6255841255188, 46.5187339782715)",6.6255841255188,46.5187339782715,GARE_N,68.87931034482759,19.3644573
3,R,GARE_B,Lausanne-Gare,12,0,761616.3,"c(6.63003778457642, 46.5172004699707)",6.63003778457642,46.5172004699707,NA,NA,10.4995495
4,A,PLY-G_1,"Pully, gare",1,235461.72,0,"c(6.65842819213867, 46.510311126709)",6.65842819213867,46.510311126709,PREAU_O,40.75541219024995,367.6240518
4,A,PREAU_O,Préau,2,29901.617,2572.1184,"c(6.65609884262085, 46.510139465332)",6.65609884262085,46.510139465332,JOLTT_O,41.18218874851528,16.5757977
4,A,JOLTT_O,Joliette,3,53890.664,12373.682,"c(6.65292310714722, 46.509895324707)",6.65292310714722,46.509895324707,RAMUZ_O,62.43307958103876,23.3358439
4,A,RAMUZ_O,C. F. Ramuz,4,74851.38,32350.648,"c(6.64805507659912, 46.5095634460449)",6.64805507659912,46.5095634460449,PPTAY_O,56.477528544821446,24.5990174
4,A,PPTAY_O,Pierraz-Portay,5,57381.273,22312.393,"c(6.6433801651001, 46.509349822998)",6.6433801651001,46.509349822998,METAI_O,38.323958108399914,24.2627743
4,A,METAI_O,Métairie,6,33552.812,18844.934,"c(6.64056777954102, 46.5100784301758)",6.64056777954102,46.5100784301758,MTSI_N,70.82450412211249,19.7549935
4,A,MTSI_N,Montchoisi,8,162252.02,42437.617,"c(6.63729000091553, 46.511474609375)",6.63729000091553,46.511474609375,JURIG_N,52.93451149112297,39.1060050
4,A,JURIG_N,Jurigoz,9,61188.203,18239.934,"c(6.63635587692261, 46.5129356384277)",6.63635587692261,46.5129356384277,ALPES_N,87.19300634548871,60.9359819
4,A,ALPES_N,Alpes,10,58172.25,31740.578,"c(6.63689517974854, 46.5152587890625)",6.63689517974854,46.5152587890625,GTE_N,93.1230325571367,30.6000163
4,A,GTE_N,Georgette,11,78700.31,100818.03,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,SF_O,165.17140921409214,64.3807727
4,A,SF_O,St-François,12,211416.38,274651.47,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,B-AIR_O,145.94081021232253,78.0709037
4,A,B-AIR_O,Bel-Air,13,306389.6,152759.66,"c(6.62830305099487, 46.5225219726562)",6.62830305099487,46.5225219726562,CH_O,80.96648713345303,43.8305849
4,A,CH_O,Chauderon,14,315895.5,121680.58,"c(6.6256799697876, 46.5235748291016)",6.6256799697876,46.5235748291016,ECOMM_N,130.76868724432876,79.9572503
4,A,ECOMM_N,Ecole Commerce,15,39258.508,167715.34,"c(6.62211894989014, 46.5255546569824)",6.62211894989014,46.5255546569824,AUBEP_N,84.96904831547319,37.7722998
4,A,AUBEP_N,Aubépines,16,21310.994,127433.84,"c(6.61922311782837, 46.5273857116699)",6.61922311782837,46.5273857116699,DRANS_N,87.88664645820039,31.9920228
4,A,DRANS_N,Dranse,17,14467.126,124142.33,"c(6.61623096466064, 46.5304679870605)",6.61623096466064,46.5304679870605,BETHA_N,74.01306059477577,30.5670602
4,A,BETHA_N,Béthanie,18,6899.541,156102.08,"c(6.61338996887207, 46.53466796875)",6.61338996887207,46.53466796875,RAPIL_N,45.23761770495292,30.1928499
4,A,RAPIL_N,Rapille,19,2450.0244,109997.36,"c(6.61211919784546, 46.5368423461914)",6.61211919784546,46.5368423461914,MGOUL_N,42.13065914773634,26.2004841
4,A,MGOUL_N,Mont-Goulin,21,1075.6024,81643.32,"c(6.61095285415649, 46.5389137268066)",6.61095285415649,46.5389137268066,CDRAI_N,27.96111081555567,25.0167314
4,A,CDRAI_N,Coudraie,22,0,168540.39,"c(6.60977077484131, 46.5403442382812)",6.60977077484131,46.5403442382812,NA,NA,8.5839496
4,R,CDRAI_N,Coudraie,1,131503.94,0,"c(6.60977077484131, 46.5403442382812)",6.60977077484131,46.5403442382812,CDRAI_B,60.4980685323625,559.0884626
4,R,CDRAI_B,Coudraie,2,52520.906,1895.5259,"c(6.60981798171997, 46.5397872924805)",6.60981798171997,46.5397872924805,MGOUL_S,42.255949071500055,30.5438957
4,R,MGOUL_S,Mont-Goulin,3,75860.94,1612.5581,"c(6.61088895797729, 46.5388488769531)",6.61088895797729,46.5388488769531,RAPIL_S,53.42001556333722,26.3672023
4,R,RAPIL_S,Rapille,5,106390.73,4781.2085,"c(6.61236095428467, 46.5363235473633)",6.61236095428467,46.5363235473633,BETHA_S,48.001639480923664,29.6141682
4,R,BETHA_S,Béthanie,6,123994.89,10185.688,"c(6.61355304718018, 46.5342636108398)",6.61355304718018,46.5342636108398,DRANS_S,77.84560233430597,30.0050574
4,R,DRANS_S,Dranse,7,124927.25,18156.03,"c(6.61637878417969, 46.5301361083984)",6.61637878417969,46.5301361083984,ECOMM_S,119.5780724432213,34.6017785
4,R,ECOMM_S,Ecole Commerce,8,90554.234,47500.562,"c(6.62185478210449, 46.5274887084961)",6.62185478210449,46.5274887084961,SROCH_E,111.19229806756567,35.0863425
4,R,SROCH_E,St-Roch,9,38361.547,86444.83,"c(6.62552690505981, 46.5251388549805)",6.62552690505981,46.5251388549805,ALE_O,73.82262325167534,66.6317253
4,R,ALE_O,Chauderon-Ale,10,29686.598,147982.9,"c(6.6272668838501, 46.5238189697266)",6.6272668838501,46.5238189697266,B-AIR_C,134.87606778151869,42.4820510
4,R,B-AIR_C,Bel-Air,11,204399.62,234694.16,"c(6.6296272277832, 46.5219650268555)",6.6296272277832,46.5219650268555,SF_S,153.05130904183537,56.3419069
4,R,SF_S,St-François,12,247394.69,158141.9,"c(6.6344780921936, 46.5191993713379)",6.6344780921936,46.5191993713379,GTE_S,101.57956371360876,64.8041835
