code_ligne_theo,direction_voy_theo,code_arret_theo,libelle_arret_theo2,sequence_theo,montees,descentes,geom_arret,lon,lat,code_arret_suiv_theo,mean_travel_time,mean_waiting_time
1,A,MALAD_N,Maladière,1,164558.14,0,"c(6.60486888885498, 46.517520904541)",6.60486888885498,46.517520904541,MTOIE_E,90.31129169085143,426.9982799
1,A,MTOIE_E,Montoie,2,136236.45,12705.396,"c(6.60879516601562, 46.5181350708008)",6.60879516601562,46.5181350708008,BATEL_E,83.54861885849435,35.4313747
1,A,BATEL_E,Batelière,3,203045.03,13408.982,"c(6.61275720596313, 46.5163726806641)",6.61275720596313,46.5163726806641,RTCOU_E,59.2910604302419,30.7762506
1,A,RTCOU_E,Riant-Cour,4,156015.31,24909.402,"c(6.61647081375122, 46.515510559082)",6.61647081375122,46.515510559082,CEDRE_E,56.891226739256545,31.8969919
1,A,CEDRE_E,Cèdres,5,164056.86,13870.56,"c(6.61914110183716, 46.5147476196289)",6.61914110183716,46.5147476196289,BGARD_E,82.071834961025,44.5824892
1,A,BGARD_E,Beauregard,6,186592.9,33794.758,"c(6.62364482879639, 46.5124778747559)",6.62364482879639,46.5124778747559,COUR_N,64.18733716647202,37.2596766
1,A,COUR_N,Cour,7,90915.1,35646.535,"c(6.62587118148804, 46.5126647949219)",6.62587118148804,46.5126647949219,DPLES_N,43.46259603720178,31.0705013
1,A,DPLES_N,Dapples,8,64682.2,23981.102,"c(6.62555599212646, 46.5144882202148)",6.62555599212646,46.5144882202148,EPTES_N,66.19469304443398,28.3212922
1,A,EPTES_N,Epinettes,9,96457.59,52692.742,"c(6.62588405609131, 46.5161170959473)",6.62588405609131,46.5161170959473,GARE_N,128.64580169718624,45.1618330
1,A,GARE_N,Lausanne-Gare,10,808822.4,597259.1,"c(6.62902021408081, 46.5172729492188)",6.62902021408081,46.5172729492188,MIRAB_N,126.64197149538896,83.9685379
1,A,MIRAB_N,Mirabeau,11,51382.758,71936.69,"c(6.634850025177, 46.5169372558594)",6.634850025177,46.5169372558594,GTE_N,98.61042134460442,32.5221286
1,A,GTE_N,Georgette,12,107652.36,464362.8,"c(6.63794422149658, 46.517463684082)",6.63794422149658,46.517463684082,SF_O,165.9408139458103,63.1915863
1,A,SF_O,St-François,13,265922.03,314327.84,"c(6.63294792175293, 46.5195503234863)",6.63294792175293,46.5195503234863,B-AIR_N,140.82713646532437,75.9566174
1,A,B-AIR_N,Bel-Air,14,462329.94,223589.14,"c(6.62915277481079, 46.5223045349121)",6.62915277481079,46.5223045349121,RNEUV_N,115.47000156533018,75.3161521
