"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"mean_waiting_time"
8;"A";"RIONZ_N";25,1565121644295
8;"A";"RIP_N  ";46,4560293492131
8;"A";"ROUVR_N";37,722972972973
8;"A";"SF_O   ";77,3482653196863
8;"A";"SOMAI_O";26,1106502897857
8;"A";"THALD_O";23,7596370061034
8;"A";"TNEL_N ";39,7177622674557
8;"A";"VERRI_O";321,49754035153
8;"A";"VIGNE_O";25,9145569620253
8;"A";"VMOUL_M";32,0973129414264
8;"A";"VRNEY_O";20,0871834680657
8;"R";"ALPES_S";50,340399336224
8;"R";"B-AIR_D";73,5711774575865
8;"R";"BELVO_S";26,1949496271098
8;"R";"BNIER_E";14,5583748193352
8;"R";"CNIER_E";20,5936627767883
8;"R";"COPOP_S";22,0074147824036
8;"R";"COPOZ_S";24,5187349334451
8;"R";"COTES_S";24,3160017811771
8;"R";"DENAN_E";13,2651602366737
8;"R";"FORET_S";36,7445690534076
8;"R";"GBORD_S";39,4186324831786
8;"R";"GGETT_S";21,3379957043323
8;"R";"GMONT_S";19,593621426138
8;"R";"GMONT_T";406,626100628931
8;"R";"GTE_S  ";55,649677436625
8;"R";"JURIG_S";31,072828007066
8;"R";"MARTI_S";19,006653046257
8;"R";"MEMIS_S";30,5967184342091
8;"R";"MOTTE_S";40,2783195210583
8;"R";"MTSI_S ";37,9519645941278
8;"R";"MUSEO_E";26,8639320999224
8;"R";"PMONT_S";27,3557657044061
8;"R";"PPORT_E";18,1746592629985
8;"R";"RIONZ_S";25,1456821813039
8;"R";"RIP_S  ";71,3267242298262
8;"R";"SF_S   ";71,0532652898493
8;"R";"SOMAI_E";23,1393878201722
8;"R";"THALD_E";23,7780781584582
8;"R";"TNEL_S ";66,0062209225043
8;"R";"VERRI_E";50,5852505180384
8;"R";"VERRI_O";10,5757672464231
8;"R";"VIGNE_E";22,6214794345839
8;"R";"VMOUL_S";41,6903210298595
8;"R";"VRNEY_E";18,501498849098
8;NA;"BO     ";NA
8;NA;"MOTTE_S";NA
8;NA;"ROUVR_N";NA
8;NA;"VMOUL_M";NA
8;NA;"VMOUL_S";NA
9;"A";"B-AIR_C";40,625
9;"A";"B-AIR_O";47,5974547744696
9;"A";"BOST_E ";36,0427927927928
9;"A";"BOST_N ";35,3693683339463
9;"A";"CECIL_S";26,8227016885553
9;"A";"CH_E   ";35,6264591439689
