"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","sigma_in","transferts_in","transferts_in%","diff_in","err_in%","sigma_out","transferts_out","transferts_out%","diff_out","err_out%"
"S1_A_SO_N","Stade Olympique",1,"A",14205.844,128369.91,48.7702942219071,28.555169,14405.5748727273,128170.179127273,14405.575,0,0,0,0,128214.67,0,0,44.491,0.035
"S1_A_VELOD_N","Parc Vélodrome",1,"A",3997.4219,142700.69,58.3522022332506,28.07134,4197.15277272727,142500.959127273,4197.153,0,0,0,0,142550.424,0,0,49.465,0.035
"S1_A_BGENT_N","Bois-Gentil",1,"A",4931.1157,248882.31,102.737432645187,33.507843,5130.84657272727,248682.579127273,5130.847,0,0,0,0,248768.902,0,0,86.323,0.035
"S1_A_BLECH_E","Blécherette",1,"A",0,279523.4,NA,16.313502,0,279323.669127273,0,0,NA,0,NA,178750.801,100635.171,36.028,62.303,0.022
"S1_R_BLECH_E","Blécherette",1,"R",312235.28,0,122.11643157919,318.2832846,312415.190809524,0,312415.141,0.051,0,0.001,0,0,0,NA,0,NA
"S1_R_BGENT_S","Bois-Gentil",1,"R",220668.67,10466.658,51.6538824341424,37.7676661,220848.580809524,10286.7471904762,220848.581,0,0,0,0,10290.318,0,0,3.571,0.035
"S1_R_VELOD_S","Parc Vélodrome",1,"R",130089.84,12243.911,60.462326245052,32.1864719,130269.750809524,12064.0001904762,130269.751,0,0,0,0,12068.188,0,0,4.188,0.035
"S1_R_SO_S","Stade Olympique",1,"R",74949.086,27834.682,79.6196319018405,23.6013992,75128.9968095238,27654.7711904762,75128.997,0,0,0,0,27664.371,0,0,9.6,0.035
"S1_R_CAS_S","Casernes",1,"R",148703.75,60124.67,56.5089656126118,38.2640326,148883.660809524,59944.7591904762,148883.648,0.013,0,0,0,59176.387,781.239,1.303,12.867,0.021
"S1_R_DRUEY_S","Druey",1,"R",100823.836,12012.645,53.3866900255872,29.1187886,101003.746809524,11832.7341904762,100771.567,234.432,0.232,2.252,0.002,8478.08,3282.266,27.739,-72.388,-0.612
"S1_R_DRCOL_S","Druey-Collège",1,"R",210037.56,28818.477,96.2727918921398,35.883774,210217.470809524,28638.5661904762,210217.471,0,0,0,0,28648.507,0,0,9.941,0.035
"S1_R_VAL_S","Valentin",1,"R",45303.96,60278.57,67.9138630890953,31.7710951,45483.8708095238,60098.6591904762,13645.161,32184.695,70.761,345.985,0.761,51946.469,8131.55,13.53,-20.64,-0.034
"S1_R_RNEUV_S","Rue Neuve",1,"R",27915.438,381328.84,112.758187961111,65.759867,28095.3488095238,381148.929190476,26542.268,1558.279,5.546,5.198,0.019,381281.234,0,0,132.305,0.035
"S1_R_B-AIR_D","Bel-Air",1,"R",121628.766,283867.7,183.144149793944,72.7082716,121808.676809524,283687.789190476,57286.37,64755.773,53.162,233.466,0.192,166155.351,116566.568,41.09,-965.87,-0.34
"S1_R_SF_S","St-François",1,"R",198148.1,180230.7,126.400735701465,64.5733322,198328.010809524,180050.789190476,159668.244,38868.58,19.598,208.813,0.105,177785.42,2323.486,1.29,58.117,0.032
"S1_R_GTE_D","Georgette",1,"R",245477.48,66478.25,102.344783263895,70.6902076,245657.390809524,66298.3391904762,230190.874,15493.672,6.307,27.155,0.011,45551.781,20667.503,31.173,-79.055,-0.119
"S1_R_RASUD_O","Rasude",1,"R",20651.32,37438.43,108.067553509374,22.1875499,20831.2308095238,37258.5191904762,16420.723,4477.777,21.495,67.269,0.323,37271.452,0,0,12.933,0.035
"S1_R_GARE_S","Lausanne-Gare",1,"R",480688.94,345354.56,70.9094162628373,63.9487151,480868.850809524,345174.649190476,271077.539,208544.93,43.368,-1246.382,-0.259,339324.951,5991.69,1.736,141.992,0.041
"S1_R_EPTES_S","Epinettes",1,"R",42450.266,65209.848,44.945041736227,29.0686658,42630.1768095238,65029.9371904762,42630.177,0,0,0,0,65052.51,0,0,22.573,0.035
"S1_R_DPLES_S","Dapples",1,"R",31783.188,59169.383,84.822702438591,27.3412799,31963.0988095238,58989.4721904762,31963.099,0,0,0,0,59009.949,0,0,20.477,0.035
"S1_R_BGARD_S","Beauregard",1,"R",37258.9,157524.7,72.2328591340516,30.4675965,37438.8108095238,157344.789190476,30681.265,6750.715,18.031,-6.831,-0.018,154938.529,2467.107,1.568,60.847,0.039
"S1_R_CEDRE_O","Cèdres",1,"R",15224.156,148674.39,54.0448510864274,29.6351468,15404.0668095238,148494.479190476,15404.067,0,0,0,0,148546.025,0,0,51.546,0.035
"S1_R_RTCOU_O","Riant-Cour",1,"R",23633.885,132201.36,59.8073110285006,30.6923928,23813.7958095238,132021.449190476,23813.796,0,0,0,0,132067.277,0,0,45.828,0.035
"S1_R_BATEL_O","Batelière",1,"R",13706.721,168884.53,81.0576710205889,30.7020712,13886.6318095238,168704.619190476,13651.341,234.673,1.69,-0.618,-0.004,166565.898,2231.887,1.323,93.166,0.055
"S1_R_MTOIE_O","Montoie",1,"R",4259.363,128254.875,74.2065790351638,33.4839274,4439.27380952381,128074.964190476,4230.182,209.968,4.73,0.876,0.02,128119.134,0.28,0,44.45,0.035
"S1_R_MALAD_N","Maladière",1,"R",0,146797.58,NA,12.6887747,0,146617.669190476,0,0,NA,0,NA,146668.563,0,0,50.894,0.035
"S2_A_MALL_E","Maladière-Lac",2,"A",111774.47,0,105.001632342139,418.8543288,110781.218968,0,110781.219,0,0,0,0,0,0,NA,0,NA
"S2_A_TVIDY_E","Théâtre de Vidy",2,"A",136311.16,8191.4214,83.5544786366206,29.6982101,135317.908968,9184.672432,131684.266,3594.975,2.657,-38.668,-0.029,9175.718,12.303,0.134,3.349,0.036
"S2_A_BVE_E","Bellerive",2,"A",93917.45,12881.017,56.4589457815108,27.3026681,92924.198968,13874.268032,92924.199,0,0,0,0,13879.084,0,0,4.816,0.035
"S2_A_PECH_E","Pêcheurs",2,"A",74734.26,11253.272,90.5638981743379,58.1848651,73741.008968,12246.523032,73741.009,0,0,0,0,12250.774,0,0,4.251,0.035
