"id_i","tag_i","stop_i","line_i","direction_i","id_j","tag_j","stop_j","line_j","direction_j","number_of_transfers"
131,"S4_A_GTE_N","Georgette",4,"A",35,"S1_R_GTE_D","Georgette",1,"R",20651.1861702503
471,"S17_R_PZROS_E","Prélaz-les-Roses",17,"R",511,"S18_R_PZROS_E","Prélaz-les-Roses",18,"R",20642.0274037348
476,"S17_R_B-AIR_C","Bel-Air",17,"R",221,"S7_A_B-AIR_N","Bel-Air",7,"A",20520.0184167661
576,"S22_A_BESS_M","Bessières",22,"A",198,"S6_R_BESS_S","Bessières",6,"R",20474.9337360136
356,"S12_A_GTE_O","Georgette",12,"A",131,"S4_A_GTE_N","Georgette",4,"A",19911.0023055347
578,"S22_A_TNEL_N","Tunnel",22,"A",250,"S8_A_TNEL_N","Tunnel",8,"A",19816.2866446975
104,"S3_A_MTBLC_N","Mont-Blanc",3,"A",29,"S1_R_DRUEY_S","Druey",1,"R",19736.3597680247
16,"S1_A_VAL_N","Valentin",1,"A",82,"S2_R_VAL_S","Valentin",2,"R",19414.6764610811
391,"S16_A_B-AIR_C","Bel-Air",16,"A",14,"S1_A_B-AIR_N","Bel-Air",1,"A",19233.3860900453
14,"S1_A_B-AIR_N","Bel-Air",1,"A",221,"S7_A_B-AIR_N","Bel-Air",7,"A",19225.1910288484
275,"S8_R_BELVO_S","Bellevaux",8,"R",110,"S3_R_BELVO_B","Bellevaux",3,"R",19144.5790496464
722,"S32_A_RCFFS_E","Renens-Gare sud",32,"A",629,"S25_A_RCFFS_E","Renens-Gare sud",25,"A",19041.0205598814
391,"S16_A_B-AIR_C","Bel-Air",16,"A",59,"S2_A_B-AIR_N","Bel-Air",2,"A",18981.2909157452
334,"S9_R_B-AIR_C","Bel-Air",9,"R",221,"S7_A_B-AIR_N","Bel-Air",7,"A",18945.2491203224
63,"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",568,"S21_R_BLIJO_E","Beaulieu-Jomini",21,"R",18936.3815253794
13,"S1_A_SF_O","St-François",1,"A",422,"S16_R_SF_O","St-François",16,"R",18847.344006754
747,"S32_R_RCFFS_O","Renens-Gare sud",32,"R",629,"S25_A_RCFFS_E","Renens-Gare sud",25,"A",18822.7921178227
843,"S42_A_PCHLY_P","Pont de Chailly",42,"A",228,"S7_A_PCHLY_E","Pont de Chailly",7,"A",18752.6392139175
171,"S6_A_B-AIR_C","Bel-Air",6,"A",151,"S4_R_B-AIR_C","Bel-Air",4,"R",18697.1289602627
335,"S9_R_SF_P","St-François",9,"R",368,"S13_A_SF_P","St-François",13,"A",18582.610874484
56,"S2_A_MIRAB_N","Mirabeau",2,"A",11,"S1_A_MIRAB_N","Mirabeau",1,"A",18255.9826332599
592,"S22_R_BELVO_D","Bellevaux",22,"R",275,"S8_R_BELVO_S","Bellevaux",8,"R",18197.0412279092
582,"S22_A_ROUVR_N","Rouvraie",22,"A",106,"S3_A_ROUVR_N","Rouvraie",3,"A",18101.6206744294
63,"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",116,"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",18069.523243047
220,"S7_A_SF_O","St-François",7,"A",152,"S4_R_SF_S","St-François",4,"R",17939.4582763252
644,"S25_A_MUSEO_O","Musée Olympique",25,"A",289,"S8_R_MUSEO_E","Musée Olympique",8,"R",17886.8982896945
199,"S6_R_SF_O","St-François",6,"R",284,"S8_R_SF_S","St-François",8,"R",17874.0532642481
495,"S18_A_BRE_N","Bré",18,"A",741,"S32_R_BRE_S","Bré",32,"R",17815.2082101917
171,"S6_A_B-AIR_C","Bel-Air",6,"A",248,"S8_A_B-AIR_N","Bel-Air",8,"A",17634.9647399238
151,"S4_R_B-AIR_C","Bel-Air",4,"R",248,"S8_A_B-AIR_N","Bel-Air",8,"A",17478.4529880085
758,"S32_R_GALIC_N","Galicien",32,"R",783,"S33_A_GALIC_N","Galicien",33,"A",16949.4248563405
477,"S17_R_SF_P","St-François",17,"R",368,"S13_A_SF_P","St-François",13,"A",16931.8449719263
565,"S21_R_BERG_E","Bergières",21,"R",66,"S2_A_BERG_O","Bergières",2,"A",16486.0517359271
199,"S6_R_SF_O","St-François",6,"R",58,"S2_A_SF_O","St-François",2,"A",16483.0067619836
390,"S16_A_CH_E","Chauderon",16,"A",170,"S6_A_CH_E","Chauderon",6,"A",16480.9329881259
744,"S32_R_R-14A_S","Renens-14 Avril",32,"R",532,"S19_R_RCFFN_E","Renens-Gare nord",19,"R",16474.872131574
172,"S6_A_SF_P","St-François",6,"A",360,"S12_R_SF_P","St-François",12,"R",16459.4811164514
334,"S9_R_B-AIR_C","Bel-Air",9,"R",84,"S2_R_B-AIR_D","Bel-Air",2,"R",16446.4041885467
283,"S8_R_B-AIR_D","Bel-Air",8,"R",423,"S16_R_B-AIR_O","Bel-Air",16,"R",16169.9005926254
390,"S16_A_CH_E","Chauderon",16,"A",518,"S19_A_CH_B","Chauderon",19,"A",16033.0726398734
573,"S21_R_GARE_B","Lausanne-Gare",21,"R",98,"S3_A_GARE_B","Lausanne-Gare",3,"A",15769.7064837498
103,"S3_A_BLIJO_M","Beaulieu-Jomini",3,"A",63,"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",15741.9372705409
151,"S4_R_B-AIR_C","Bel-Air",4,"R",33,"S1_R_B-AIR_D","Bel-Air",1,"R",15611.7329313208
225,"S7_A_OURS_E","Ours",7,"A",174,"S6_A_OURS_E","Ours",6,"A",15595.913770584
576,"S22_A_BESS_M","Bessières",22,"A",1196,"S72_A_BES","Bessières",72,"A",15519.4018365763
149,"S4_R_SROCH_E","St-Roch",4,"R",102,"S3_A_SROCH_N","St-Roch",3,"A",15514.5784069714
1196,"S72_A_BES","Bessières",72,"A",219,"S7_R_BESS_S","Bessières",7,"A",15440.5743914368
220,"S7_A_SF_O","St-François",7,"A",85,"S2_R_SF_S","St-François",2,"R",15355.5717384869
90,"S2_R_JDILS_S","Jordils",2,"R",1190,"S72_A_JOR","Jordils",72,"A",15161.4738624691
103,"S3_A_BLIJO_M","Beaulieu-Jomini",3,"A",80,"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",15046.1244668276
169,"S6_A_CECIL_N","Cécil",6,"A",119,"S3_R_CECIL_S","Cécil",3,"R",14997.2120008974
199,"S6_R_SF_O","St-François",6,"R",13,"S1_A_SF_O","St-François",1,"A",14957.2222508074
201,"S6_R_CH_O","Chauderon",6,"R",519,"S19_A_CH_O","Chauderon",19,"A",14953.044077713
1209,"S72_R_BES","Bessières",72,"R",600,"S22_R_BESS_D","Bessières",22,"R",14855.0299752938
855,"S42_R_SALA_D","Sallaz",42,"R",1049,"S65_A_SALA_Z","Sallaz",65,"A",14846.2132974373
1025,"S62_R_CROIS_B","Epalinges, Croisettes",62,"R",897,"S46_R_CROIS_D","Epalinges, Croisettes",46,"R",14766.0969450848
485,"S18_A_PZROS_O","Prélaz-les-Roses",18,"A",539,"S19_R_PZROS_E","Prélaz-les-Roses",19,"R",14712.8863383587
247,"S8_A_SF_O","St-François",8,"A",422,"S16_R_SF_O","St-François",16,"R",14451.7163660654
131,"S4_A_GTE_N","Georgette",4,"A",12,"S1_A_GTE_N","Georgette",1,"A",14382.223957494
219,"S7_R_BESS_S","Bessières",7,"A",576,"S22_A_BESS_M","Bessières",22,"A",14353.9381558007
203,"S6_R_CECIL_S","Cécil",6,"R",571,"S21_R_CECIL_S","Cécil",21,"R",14278.0398074179
1128,"S67_R_VVERT_B","Pully, Val-Vert",67,"R",211,"S7_R_VVERT_T","Pully, Val-Vert",7,"A",14215.7107089322
34,"S1_R_SF_S","St-François",1,"R",368,"S13_A_SF_P","St-François",13,"A",14034.5195905852
33,"S1_R_B-AIR_D","Bel-Air",1,"R",423,"S16_R_B-AIR_O","Bel-Air",16,"R",13977.8425780328
58,"S2_A_SF_O","St-François",2,"A",199,"S6_R_SF_O","St-François",6,"R",13945.1594912593
723,"S32_A_1-AOU_O","1er Août",32,"A",533,"S19_R_1-AOU_E","1er Août",19,"R",13800.7265486877
860,"S45_A_CX-BL_N","Croix Blanche",45,"A",885,"S46_A_CX-BL_N","Croix Blanche",46,"A",13617.9260544465
672,"S25_R_CENSU_O","Censuy",25,"R",718,"S32_A_CENSU_O","Censuy",32,"A",13540.7595816846
109,"S3_A_BELVO_B","Bellevaux",3,"A",257,"S8_A_BELVO_N","Bellevaux",8,"A",13397.5848467118
391,"S16_A_B-AIR_C","Bel-Air",16,"A",248,"S8_A_B-AIR_N","Bel-Air",8,"A",13359.9661911638
151,"S4_R_B-AIR_C","Bel-Air",4,"R",221,"S7_A_B-AIR_N","Bel-Air",7,"A",13359.6644205479
392,"S16_A_SF_P","St-François",16,"A",477,"S17_R_SF_P","St-François",17,"R",13330.6358039335
1175,"S70_R_VIGIE_R","Vigie",70,"R",119,"S3_R_CECIL_S","Cécil",3,"R",13217.1434255809
232,"S7_A_VVERT_T","Pully, Val-Vert",7,"A",1093,"S67_A_VVERT_B","Pully, Val-Vert",67,"A",13166.7011127995
134,"S4_A_CH_O","Chauderon",4,"A",316,"S9_A_CH_O","Chauderon",9,"A",13021.487604171
905,"S47_A_CLERG_N","Pully, Clergère",47,"A",307,"S9_A_CLERG_O","Pully, Clergère",9,"A",12918.0329462981
225,"S7_A_OURS_E","Ours",7,"A",1208,"S72_R_OUR","Ours",72,"R",12812.0891784547
1092,"S65_R_SALA_Z","Sallaz",65,"R",840,"S42_A_SALA_D","Sallaz",42,"A",12770.1624152965
600,"S22_R_BESS_D","Bessières",22,"R",1196,"S72_A_BES","Bessières",72,"A",12731.0115352707
645,"S25_A_MTSI_E","Montchoisi",25,"A",156,"S4_R_MTSI_E","Montchoisi",4,"R",12665.5281012248
691,"S31_A_RCFFS_E","Renens-Gare sud",31,"A",722,"S32_A_RCFFS_E","Renens-Gare sud",32,"A",12529.0870671696
6,"S1_A_BGARD_E","Beauregard",1,"A",641,"S25_A_BGARD_E","Beauregard",25,"A",12398.5357838845
944,"S49_A_GCHAM_O","Belmont-s-L., Grands-Champs",49,"A",921,"S47_R_GCHAM_O","Belmont-s-L., Grands-Champs",47,"R",12344.6170653302
672,"S25_R_CENSU_O","Censuy",25,"R",752,"S32_R_CENSU_E","Censuy",32,"R",12256.8808760203
283,"S8_R_B-AIR_D","Bel-Air",8,"R",200,"S6_R_B-AIR_O","Bel-Air",6,"R",12178.3379023539
1182,"S70_R_SORGE_R","UNIL-Sorge",70,"R",702,"S31_R_SORGE_O","UNIL-Sorge",31,"R",12156.9952969263
446,"S17_A_AVNIR_O","Avenir",17,"A",822,"S38_A_AVNIR_O","Avenir",38,"A",12113.3127326755
114,"S3_R_CAS_S","Casernes",3,"R",28,"S1_R_CAS_S","Casernes",1,"R",12102.9998871854
583,"S22_A_MOTTE_N","Motte",22,"A",277,"S8_R_MOTTE_S","Motte",8,"R",12101.7756430292
246,"S8_A_GTE_N","Georgette",8,"A",336,"S9_R_GTE_E","Georgette",9,"R",12035.2859372631
989,"S62_A_MEZ-V_N","Mézières VD, village",62,"A",1072,"S65_R_MEZ-V_O","Mézières VD, village",65,"R",11916.3165932282
380,"S13_R_BENJC_S","Benj. Constant",13,"R",393,"S16_A_BENJC_N","Benj. Constant",16,"A",11886.9970111276
201,"S6_R_CH_O","Chauderon",6,"R",424,"S16_R_CH_O","Chauderon",16,"R",11885.3902048266
551,"S21_A_BLIJO_O","Beaulieu-Jomini",21,"A",63,"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",11871.1908359116
543,"S19_R_CH_N","Chauderon",19,"R",202,"S6_R_PT-CH_S","Pont Chauderon",6,"R",11869.5188662751
843,"S42_A_PCHLY_P","Pont de Chailly",42,"A",215,"S7_R_PCHLY_O","Pont de Chailly",7,"A",11800.0008182077
758,"S32_R_GALIC_N","Galicien",32,"R",796,"S33_R_GALIC_M","Galicien",33,"R",11688.1000226648
691,"S31_A_RCFFS_E","Renens-Gare sud",31,"A",629,"S25_A_RCFFS_E","Renens-Gare sud",25,"A",11675.8934099716
198,"S6_R_BESS_S","Bessières",6,"R",576,"S22_A_BESS_M","Bessières",22,"A",11472.2983975595
353,"S12_A_ESPER_O","Bonne-Espérance",12,"A",310,"S9_A_ESPER_O","Bonne-Espérance",9,"A",11290.3557079585
391,"S16_A_B-AIR_C","Bel-Air",16,"A",151,"S4_R_B-AIR_C","Bel-Air",4,"R",11284.201627135
151,"S4_R_B-AIR_C","Bel-Air",4,"R",84,"S2_R_B-AIR_D","Bel-Air",2,"R",11268.5379493421
86,"S2_R_GTE_D","Georgette",2,"R",336,"S9_R_GTE_E","Georgette",9,"R",11193.7877134499
1069,"S65_A_MEZ-V_N","Mézières VD, village",65,"A",1010,"S62_R_MEZ-V_O","Mézières VD, village",62,"R",11036.6372117355
725,"S32_A_R-14A_N","Renens-14 Avril",32,"A",823,"S38_A_R-14A_N","Renens-14 Avril",38,"A",10959.5728301231
644,"S25_A_MUSEO_O","Musée Olympique",25,"A",242,"S8_A_MUSEO_O","Musée Olympique",8,"A",10921.6717469917
116,"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",551,"S21_A_BLIJO_O","Beaulieu-Jomini",21,"A",10893.9808464916
199,"S6_R_SF_O","St-François",6,"R",152,"S4_R_SF_S","St-François",4,"R",10882.1234987842
394,"S16_A_PBESS_N","Pont Bessières",16,"A",198,"S6_R_BESS_S","Bessières",6,"R",10817.2452588912
171,"S6_A_B-AIR_C","Bel-Air",6,"A",221,"S7_A_B-AIR_N","Bel-Air",7,"A",10747.5422422734
80,"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",568,"S21_R_BLIJO_E","Beaulieu-Jomini",21,"R",10603.7265239232
29,"S1_R_DRUEY_S","Druey",1,"R",115,"S3_R_MTBLC_S","Mont-Blanc",3,"R",10481.8984723375
121,"S3_R_GARE_B","Lausanne-Gare",3,"R",546,"S21_A_GARE_B","Lausanne-Gare",21,"A",10478.2841939712
391,"S16_A_B-AIR_C","Bel-Air",16,"A",283,"S8_R_B-AIR_D","Bel-Air",8,"R",10360.8156400574
169,"S6_A_CECIL_N","Cécil",6,"A",571,"S21_R_CECIL_S","Cécil",21,"R",10336.7371339428
858,"S45_A_CROIS_C","Epalinges, Croisettes",45,"A",974,"S62_A_CROIS_B","Epalinges, Croisettes",62,"A",10235.549218677
317,"S9_A_BOST_N","Boston",9,"A",520,"S19_A_BOST_O","Boston",19,"A",10221.5660356082
673,"S25_R_RCFFS_O","Renens-Gare sud",25,"R",747,"S32_R_RCFFS_O","Renens-Gare sud",32,"R",10192.5745667085
202,"S6_R_PT-CH_S","Pont Chauderon",6,"R",118,"S3_R_PT-CH_S","Pont Chauderon",3,"R",10191.8902386986
35,"S1_R_GTE_D","Georgette",1,"R",361,"S12_R_GTE_E","Georgette",12,"R",10184.4805988364
92,"S2_R_OUCHY_O","Ouchy-Olympique",2,"R",1189,"S72_A_OUC","Ouchy-Olympique",72,"A",10102.0711251263
307,"S9_A_CLERG_O","Pully, Clergère",9,"A",905,"S47_A_CLERG_N","Pully, Clergère",47,"A",10045.9909550652
217,"S7_R_BETHU_O","Béthusy",7,"A",175,"S6_A_BETHU_N","Béthusy",6,"A",9901.27867459647
37,"S1_R_GARE_S","Lausanne-Gare",1,"R",1212,"S72_R_CFF","Lausanne-Gare",72,"R",9899.70414939876
356,"S12_A_GTE_O","Georgette",12,"A",246,"S8_A_GTE_N","Georgette",8,"A",9863.94103549603
250,"S8_A_TNEL_N","Tunnel",8,"A",598,"S22_R_TNEL_S","Tunnel",22,"R",9859.39682787947
285,"S8_R_GTE_S","Georgette",8,"R",361,"S12_R_GTE_E","Georgette",12,"R",9843.80548142337
56,"S2_A_MIRAB_N","Mirabeau",2,"A",36,"S1_R_RASUD_O","Rasude",1,"R",9782.03839929691
33,"S1_R_B-AIR_D","Bel-Air",1,"R",200,"S6_R_B-AIR_O","Bel-Air",6,"R",9774.50379712909
928,"S47_R_CLERG_O","Pully, Clergère",47,"R",342,"S9_R_CLERG_E","Pully, Clergère",9,"R",9768.77275333811
134,"S4_A_CH_O","Chauderon",4,"A",424,"S16_R_CH_O","Chauderon",16,"R",9733.20648828011
198,"S6_R_BESS_S","Bessières",6,"R",394,"S16_A_PBESS_N","Pont Bessières",16,"A",9730.4917870555
301,"S9_A_VOISD_O","Voisinand",9,"A",1130,"S68_A_CHAMP_N","Les Champs",68,"A",9716.26445037734
421,"S16_R_PBESS_S","Pont Bessières",16,"R",1209,"S72_R_BES","Bessières",72,"R",9479.60357875204
58,"S2_A_SF_O","St-François",2,"A",422,"S16_R_SF_O","St-François",16,"R",9466.35414488833
152,"S4_R_SF_S","St-François",4,"R",392,"S16_A_SF_P","St-François",16,"A",9318.25739115709
422,"S16_R_SF_O","St-François",16,"R",152,"S4_R_SF_S","St-François",4,"R",9317.07225507782
722,"S32_A_RCFFS_E","Renens-Gare sud",32,"A",776,"S33_A_RCFFS_E","Renens-Gare sud",33,"A",9317.03217126146
223,"S7_A_TNEL_E","Tunnel",7,"A",250,"S8_A_TNEL_N","Tunnel",8,"A",9195.43008548682
576,"S22_A_BESS_M","Bessières",22,"A",1209,"S72_R_BES","Bessières",72,"R",9194.74306034647
434,"S17_A_SF_O","St-François",17,"A",220,"S7_A_SF_O","St-François",7,"A",9130.60813729702
255,"S8_A_MOTTE_N","Motte",8,"A",594,"S22_R_MOTTE_S","Motte",22,"R",8954.05739495596
86,"S2_R_GTE_D","Georgette",2,"R",153,"S4_R_GTE_S","Georgette",4,"R",8942.23662256118
838,"S38_R_R-14A_S","Renens-14 Avril",38,"R",745,"S32_R_RCFFN_E","Renens-Gare nord",32,"R",8932.83247844944
885,"S46_A_CX-BL_N","Croix Blanche",46,"A",876,"S45_R_CX-BL_S","Croix Blanche",45,"R",8857.61852394948
529,"S19_A_AVNIR_O","Avenir",19,"A",822,"S38_A_AVNIR_O","Avenir",38,"A",8731.35615776771
728,"S32_A_BRE_N","Bré",32,"A",501,"S18_R_BRE_S","Bré",18,"R",8649.78505506053
860,"S45_A_CX-BL_N","Croix Blanche",45,"A",895,"S46_R_CX-BL_S","Croix Blanche",46,"R",8631.47954818647
691,"S31_A_RCFFS_E","Renens-Gare sud",31,"A",803,"S33_R_RCFFS_O","Renens-Gare sud",33,"R",8623.61487721303
416,"S16_R_VMOUL_S","Vieux-Moulin",16,"R",113,"S3_R_VMOUL_O","Vieux-Moulin",3,"R",8615.44485594297
169,"S6_A_CECIL_N","Cécil",6,"A",100,"S3_A_CECIL_N","Cécil",3,"A",8490.72160741277
31,"S1_R_VAL_S","Valentin",1,"R",83,"S2_R_RNEUV_S","Rue Neuve",2,"R",8487.53569505484
202,"S6_R_PT-CH_S","Pont Chauderon",6,"R",549,"S21_A_CH_N","Chauderon",21,"A",8477.92897365998
172,"S6_A_SF_P","St-François",6,"A",477,"S17_R_SF_P","St-François",17,"R",8462.35837897386
578,"S22_A_TNEL_N","Tunnel",22,"A",281,"S8_R_TNEL_S","Tunnel",8,"R",8389.3870246396
109,"S3_A_BELVO_B","Bellevaux",3,"A",585,"S22_A_BELVO_M","Bellevaux",22,"A",8286.41503802261
57,"S2_A_GTE_N","Georgette",2,"A",285,"S8_R_GTE_S","Georgette",8,"R",8114.5717972803
752,"S32_R_CENSU_E","Censuy",32,"R",630,"S25_A_CENSU_E","Censuy",25,"A",7999.07525244895
392,"S16_A_SF_P","St-François",16,"A",368,"S13_A_SF_P","St-François",13,"A",7828.41698569053
731,"S32_A_CPEAG_M","Croix-Péage",32,"A",456,"S17_R_CPEAG_B","Croix-Péage",17,"R",7790.8709680511
153,"S4_R_GTE_S","Georgette",4,"R",361,"S12_R_GTE_E","Georgette",12,"R",7723.52022672208
57,"S2_A_GTE_N","Georgette",2,"A",361,"S12_R_GTE_E","Georgette",12,"R",7677.1268828141
131,"S4_A_GTE_N","Georgette",4,"A",57,"S2_A_GTE_N","Georgette",2,"A",7658.68515062112
422,"S16_R_SF_O","St-François",16,"R",85,"S2_R_SF_S","St-François",2,"R",7618.58472134219
246,"S8_A_GTE_N","Georgette",8,"A",86,"S2_R_GTE_D","Georgette",2,"R",7601.34685100505
455,"S17_A_CPEAG_B","Croix-Péage",17,"A",738,"S32_R_CPEAG_E","Croix-Péage",32,"R",7577.90268668425
342,"S9_R_CLERG_E","Pully, Clergère",9,"R",928,"S47_R_CLERG_O","Pully, Clergère",47,"R",7557.51591687708
1175,"S70_R_VIGIE_R","Vigie",70,"R",100,"S3_A_CECIL_N","Cécil",3,"A",7550.00202687174
134,"S4_A_CH_O","Chauderon",4,"A",201,"S6_R_CH_O","Chauderon",6,"R",7409.57143376995
803,"S33_R_RCFFS_O","Renens-Gare sud",33,"R",747,"S32_R_RCFFS_O","Renens-Gare sud",32,"R",7355.66587375601
356,"S12_A_GTE_O","Georgette",12,"A",12,"S1_A_GTE_N","Georgette",1,"A",7350.56712977056
284,"S8_R_SF_S","St-François",8,"R",368,"S13_A_SF_P","St-François",13,"A",7338.24246574742
173,"S6_A_BESS_N","Bessières",6,"A",576,"S22_A_BESS_M","Bessières",22,"A",7190.87157934313
551,"S21_A_BLIJO_O","Beaulieu-Jomini",21,"A",80,"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",6965.59575020973
1191,"S72_A_DEL","Délices",72,"A",660,"S25_R_DLICE_O","Délices",25,"R",6963.50098402995
391,"S16_A_B-AIR_C","Bel-Air",16,"A",221,"S7_A_B-AIR_N","Bel-Air",7,"A",6926.81996448794
542,"S19_R_BOST_E","Boston",19,"R",332,"S9_R_BOST_S","Boston",9,"R",6818.89027140577
35,"S1_R_GTE_D","Georgette",1,"R",285,"S8_R_GTE_S","Georgette",8,"R",6714.45930188483
1196,"S72_A_BES","Bessières",72,"A",600,"S22_R_BESS_D","Bessières",22,"R",6678.39734253772
85,"S2_R_SF_S","St-François",2,"R",172,"S6_A_SF_P","St-François",6,"A",6658.72014702463
610,"S24_A_TVIDY_E","Théâtre de Vidy",24,"A",47,"S2_A_TVIDY_E","Théâtre de Vidy",2,"A",6654.94146544014
1175,"S70_R_VIGIE_R","Vigie",70,"R",571,"S21_R_CECIL_S","Cécil",21,"R",6548.70199464896
564,"S21_R_BOISY_E","Boisy",21,"R",76,"S2_R_BOISY_E","Boisy",2,"R",6494.7685440348
777,"S33_A_CENSU_E","Censuy",33,"A",718,"S32_A_CENSU_O","Censuy",32,"A",6475.35804238126
1175,"S70_R_VIGIE_R","Vigie",70,"R",548,"S21_A_CECIL_N","Cécil",21,"A",6472.85986863077
642,"S25_A_DLICE_E","Délices",25,"A",1214,"S72_R_DEL","Délices",72,"R",6456.88031597076
416,"S16_R_VMOUL_S","Vieux-Moulin",16,"R",278,"S8_R_VMOUL_S","Vieux-Moulin",8,"R",6449.40799267919
576,"S22_A_BESS_M","Bessières",22,"A",173,"S6_A_BESS_N","Bessières",6,"A",6362.34169270554
497,"S18_A_TIMON_T","Crissier, Timonet",18,"A",730,"S32_A_TIMON_O","Crissier, Timonet",32,"A",6357.60495955898
223,"S7_A_TNEL_E","Tunnel",7,"A",598,"S22_R_TNEL_S","Tunnel",22,"R",6201.92195796477
868,"S45_A_CHT_B","Chalet-à-Gobet",45,"A",1038,"S64_R_CHT_T","Chalet-à-Gobet",64,"R",6191.7265795903
313,"S9_A_GTE_O","Georgette",9,"A",285,"S8_R_GTE_S","Georgette",8,"R",6180.39413482167
3,"S1_A_BATEL_E","Batelière",1,"A",664,"S25_R_BATEL_O","Batelière",25,"R",6123.30371996893
294,"S8_R_CNIER_E","Châtaignier",8,"R",903,"S47_A_CNIER_N","Châtaignier",47,"A",6113.35258916773
57,"S2_A_GTE_N","Georgette",2,"A",153,"S4_R_GTE_S","Georgette",4,"R",6073.06983021318
724,"S32_A_RCFFN_N","Renens-Gare nord",32,"A",956,"S54_A_RCFFN_G","Renens-Gare nord",54,"A",6058.42582952898
2,"S1_A_MTOIE_E","Montoie",1,"A",163,"S6_A_MTOIE_E","Montoie",6,"A",6002.27388803683
199,"S6_R_SF_O","St-François",6,"R",247,"S8_A_SF_O","St-François",8,"A",5991.20462483237
537,"S19_R_PERRL_E","Perrelet",19,"R",442,"S17_A_PERRL_O","Perrelet",17,"A",5953.08478920996
569,"S21_R_SROCH_S","St-Roch",21,"R",149,"S4_R_SROCH_E","St-Roch",4,"R",5915.77697024421
803,"S33_R_RCFFS_O","Renens-Gare sud",33,"R",722,"S32_A_RCFFS_E","Renens-Gare sud",32,"A",5914.25286035249
169,"S6_A_CECIL_N","Cécil",6,"A",548,"S21_A_CECIL_N","Cécil",21,"A",5873.09142609287
100,"S3_A_CECIL_N","Cécil",3,"A",203,"S6_R_CECIL_S","Cécil",6,"R",5871.98858001796
171,"S6_A_B-AIR_C","Bel-Air",6,"A",84,"S2_R_B-AIR_D","Bel-Air",2,"R",5846.34948408678
469,"S17_R_PERRL_E","Perrelet",17,"R",525,"S19_A_PERRL_O","Perrelet",19,"A",5833.24667549043
424,"S16_R_CH_O","Chauderon",16,"R",519,"S19_A_CH_O","Chauderon",19,"A",5825.06167386623
447,"S17_A_R-14A_O","Renens-14 Avril",17,"A",744,"S32_R_R-14A_S","Renens-14 Avril",32,"R",5817.91178734067
342,"S9_R_CLERG_E","Pully, Clergère",9,"R",936,"S49_A_CLERG_N","Pully, Clergère",49,"A",5813.39037740437
434,"S17_A_SF_O","St-François",17,"A",199,"S6_R_SF_O","St-François",6,"R",5740.70610058822
172,"S6_A_SF_P","St-François",6,"A",368,"S13_A_SF_P","St-François",13,"A",5736.40080649299
149,"S4_R_SROCH_E","St-Roch",4,"R",550,"S21_A_SROCH_N","St-Roch",21,"A",5725.38702157517
868,"S45_A_CHT_B","Chalet-à-Gobet",45,"A",1021,"S62_R_CHT_S","Chalet-à-Gobet",62,"R",5678.18095077992
912,"S47_A_GCHAM_E","Belmont-s-L., Grands-Champs",47,"A",946,"S49_R_GCHAM_E","Belmont-s-L., Grands-Champs",49,"R",5608.17073718675
548,"S21_A_CECIL_N","Cécil",21,"A",203,"S6_R_CECIL_S","Cécil",6,"R",5559.21266597489
202,"S6_R_PT-CH_S","Pont Chauderon",6,"R",101,"S3_A_CH_N","Chauderon",3,"A",5537.09040292067
930,"S47_R_PREAU_O","Préau",47,"R",652,"S25_R_PREAU_O","Préau",25,"R",5536.58499344349
638,"S25_A_BATEL_E","Batelière",25,"A",43,"S1_R_BATEL_O","Batelière",1,"R",5483.19492444597
548,"S21_A_CECIL_N","Cécil",21,"A",169,"S6_A_CECIL_N","Cécil",6,"A",5375.77106835903
391,"S16_A_B-AIR_C","Bel-Air",16,"A",33,"S1_R_B-AIR_D","Bel-Air",1,"R",5317.21527365041
1209,"S72_R_BES","Bessières",72,"R",421,"S16_R_PBESS_S","Pont Bessières",16,"R",5280.26997877152
35,"S1_R_GTE_D","Georgette",1,"R",153,"S4_R_GTE_S","Georgette",4,"R",5216.01443468815
153,"S4_R_GTE_S","Georgette",4,"R",356,"S12_A_GTE_O","Georgette",12,"A",5200.74672634997
718,"S32_A_CENSU_O","Censuy",32,"A",630,"S25_A_CENSU_E","Censuy",25,"A",5076.00096647378
1193,"S72_A_CFF","Lausanne-Gare",72,"A",37,"S1_R_GARE_S","Lausanne-Gare",1,"R",5003.87925902441
523,"S19_A_PZROS_O","Prélaz-les-Roses",19,"A",511,"S18_R_PZROS_E","Prélaz-les-Roses",18,"R",4941.99023950615
1216,"S72_R_OUC","Ouchy-Olympique",72,"R",613,"S24_A_OUCHY_E","Ouchy-Olympique",24,"A",4923.27581861134
356,"S12_A_GTE_O","Georgette",12,"A",57,"S2_A_GTE_N","Georgette",2,"A",4918.7928267831
250,"S8_A_TNEL_N","Tunnel",8,"A",419,"S16_R_TNEL_S","Tunnel",16,"R",4870.97813719427
