"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
225,1.19607659890331e-06,2.54652159749963e-07,6.17598987785885e-08,1.71644430829606e-07,2.21192248852356,1035,876
226,1.19222220501338e-06,2.54117101462108e-07,6.16934847083316e-08,1.70568394007514e-07,2.20207185053681,1035,876
227,1.18843209060681e-06,2.53587802948488e-07,6.16276678515961e-08,1.69503072373835e-07,2.19230845651089,1035,876
228,1.1847021538547e-06,2.53063853864678e-07,6.15624355509665e-08,1.68448300084173e-07,2.18263115278791,1035,876
229,1.18102892842166e-06,2.52545247590366e-07,6.14978161422582e-08,1.67403999642596e-07,2.17303880579618,1035,876
230,1.17741906008795e-06,2.52032056017806e-07,6.14338209263424e-08,1.66370071827156e-07,2.16353030167062,1035,876
231,1.17386546908384e-06,2.5152419722231e-07,6.13704545748385e-08,1.65346389299001e-07,2.15410454593029,1035,876
232,1.17036530964439e-06,2.51021589404243e-07,6.13077185658881e-08,1.64332817770582e-07,2.14476046312552,1035,876
233,1.16692167498842e-06,2.50524175326825e-07,6.12456117569788e-08,1.63329220640223e-07,2.13549699639844,1035,876
234,1.16352960547264e-06,2.50031889897475e-07,6.11841304350429e-08,1.62335459662813e-07,2.12631310705535,1035,876
235,1.1601868727209e-06,2.49544665918038e-07,6.11232691470381e-08,1.61351397681535e-07,2.11720777417668,1035,876
236,1.15689560487768e-06,2.49062433073885e-07,6.10630214439198e-08,1.60376898485896e-07,2.10817999423665,1035,876
