"code_arret_theo","libelle_arret_theo","lat_arret","lon_arret"
"SAUGI_O","""Saugiaz""",46.540035,6.586556
"BAUM_S ","""Baumettes""",46.543182,6.591018
"BATEL_O","""Batelière""",46.51646,6.612535
"BDESS_N","""Bourg-Dessus""",46.53828,6.594588
"LPORT_B","""Lutry, Port""",46.50182,6.683981
"CASC_N ","""Cascades""",46.540253,6.641165
"FORNI_E","""Villette (Lavaux), Pra Forni""",46.5057,6.710766
"BNEN_O ","""Bourdonnette nord""",46.524998,6.589087
"CH_E   ","""Chauderon""",46.52327,6.625907
"GVG_S  ","""Grandvaux, gare sud""",46.496586,6.72058
"MTELY_O","""Montelly""",46.520832,6.612429
"RIVE_E ","""Rive""",46.50118,6.690191
"GRAVX_O","""Grandvaux, Pra Grana""",46.50357,6.713713
"B-AIR_C","""Bel-Air""",46.521965,6.629627
"JURIG_N","""Jurigoz""",46.512936,6.636356
"FROIV_S","""Froideville, village""",46.599667,6.675539
"ENBOI_E","""Entre-Bois""",46.541023,6.631493
"PROVN_O","""Provence nord""",46.52413,6.60607
"TUIL_E ","""Tuileries""",46.544456,6.657961
"LIBEL_O","""Libellules""",46.540787,6.644013
"HUTIN_O","""Huttins""",46.533157,6.608695
"CEDRE_E","""Cèdres""",46.514748,6.619141
"FIGUI_D","""Figuiers""",46.5169,6.609518
"ELYSE_E","""Elysée""",46.51083,6.632335
"BIOLL_S","""Biolleyre""",46.55221,6.668881
"VALON_S","""Vallon""",46.517807,6.666999
"BSITE_D","""Beau-Site""",46.535133,6.620631
"GENE_S ","""Grandvaux, Genevrey""",46.498486,6.716308
"BETHU_N","""Béthusy""",46.52223,6.646788
"LIBEL_E","""Libellules""",46.540592,6.644263
"TIMON_E","""Crissier, Timonet""",46.555202,6.574515
"PAUDX_E","""Paudex, Village""",46.50669,6.672786
"VENON_S","""Venoge nord""",46.51392,6.545569
"FLIEU_O","""Follieu""",46.539707,6.592924
"MALEY_M","""Malley""",46.523987,6.603088
"VLARD_O","""Villard""",46.519627,6.623629
"MTNY_N ","""Montaney""",46.518173,6.551989
"ESSER_S","""Essertes, Le Pralet""",46.558678,6.781557
"USSRO_S","""Ropraz, Ussières""",46.60154,6.754684
"FOURM_S","""Fourmi""",46.538727,6.650639
"PRBYT_E","""Presbytère""",46.528934,6.621663
"BLVDR_O","""Belvédère""",46.52095,6.617457
"CHISA_N","""Crissier, Chisaz""",46.5504,6.576965
"PRAZC_N","""Praz-Collet""",46.56032,6.696505
"B-AIR_N","""Bel-Air""",46.522305,6.629153
"GMONT_B","""Grand-Mont""",46.5631,6.632781
"VAL_S  ","""Valentin""",46.524426,6.631441
"DP_TX  ","""Dépôt MSA""",46.53034,6.602103
"SO_S   ","""Stade Olympique""",46.53352,6.626222
"VENOS_O","""Venoge sud""",46.512928,6.546237
"PCHAT_N","""Petit Château""",46.527794,6.635653
"VERRI_E","""Verrière""",46.505714,6.670768
"CERIS_O","""Cerisaie""",46.528393,6.566889
"BIOLL_N","""Biolleyre""",46.552727,6.667987
"MTOIE_O","""Montoie""",46.518528,6.60832
"EPAL_N ","""Marcel Regamey""",46.54867,6.674656
"DST_O  ","""Désert""",46.540318,6.6123
"EPALC_O","""Epalinges, centre""",46.548435,6.673081
"PECH_O ","""Pêcheurs""",46.510056,6.619695
"FNAY_N ","""Fontenay""",46.517063,6.618598
"PCHLY_E","""Pont de Chailly""",46.526108,6.651879
"VENNE_S","""Vennes""",46.541348,6.655999
"LYGAR_E","""Lutry, gare""",46.5049,6.688837
"GALIC_O","""Galicien""",46.528442,6.603397
"MARB_E ","""Marbrerie""",46.517773,6.602493
"GVESS_N","""Gravesse""",46.509747,6.694946
"CRAIV_N","""Craivavers""",46.531322,6.659181
"MARIO_O","""Marionnettes""",46.512745,6.6859
"PPTAY_O","""Pierraz-Portay""",46.50935,6.64338
"ALE_O  ","""Chauderon-Ale""",46.52382,6.627267
"CHAVC_N","""Chavannes-R., Cèdres""",46.530464,6.573151
"MOUN_S ","""Riex, Mouniaz""",46.493725,6.734334
"BESS_D ","""Bessières""",46.521267,6.636649
"CX-BL_N","""Croix Blanche""",46.547657,6.670993
"CHESG_A","""Cheseaux-sur-Lausanne, gare""",46.583763,6.605229
"RCFFN_E","""Renens-Gare nord""",46.538094,6.579443
"MOLLT_N","""Molliettes""",46.55309,6.693723
"R-HV_O ","""Hôtel-de-Ville""",46.536724,6.586217
"FOUGE_S","""Le Mont-s-L., Fougères""",46.57043,6.63425
"VAL_N  ","""Valentin""",46.52455,6.631413
"MORGS_O","""Morrens VD, Grande Salle""",46.589733,6.627398
"RCFFS_Y","""Renens-Gare sud""",46.537167,6.577984
"COLLI_N","""Colline""",46.510857,6.67906
"VSTCX_O","""Villars-Ste-Croix, Village""",46.56803,6.561605
"MOUSQ_E","""Mousquines""",46.516815,6.646737
"CHLYV_E","""Chailly-Village""",46.523163,6.655193
"GENOU_E","""Bois-Genoud""",46.54607,6.584714
"BRE_S  ","""Bré""",46.55078,6.578589
"BLIJO_O","""Beaulieu-Jomini""",46.52738,6.625741
"CHEVR_N","""Chevreuils""",46.558712,6.696749
"EPTES_N","""Epinettes""",46.516117,6.625884
