"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"libelle_arret_theo2";"sequence_theo";"montees";"descentes";"geom_arret"
47;"A";"GCHAM_E";"Belmont-s-L., Grands-Champs";15;1875,6766;50167,066;c(6.67737722396851, 46.522087097168)
47;"A";"BELMT_E";"Belmont-s-L., Centre";16;613,1285;53618,16;c(6.67898416519165, 46.5190315246582)
47;"A";"BLESS_E";"Belmont-s-L., Blessoney";18;216,96341;35850,324;c(6.6843409538269, 46.5189514160156)
47;"A";"LANDA_E";"Lutry, Landar";19;331,35513;24551,615;c(6.69054889678955, 46.517650604248)
47;"A";"LANDA_T";"Lutry, Landar";20;0;11603,801;c(6.68929576873779, 46.5178489685059)
47;"R";"LANDA_T";"Lutry, Landar";1;30201,973;0;c(6.68929576873779, 46.5178489685059)
47;"R";"LANDA_O";"Lutry, Landar";2;6863,6973;2217,6758;c(6.68929576873779, 46.5178489685059)
47;"R";"BLESS_O";"Belmont-s-L., Blessoney";4;31356,398;715,26715;c(6.68395519256592, 46.5195693969727)
47;"R";"BELMT_O";"Belmont-s-L., Centre";5;51656,21;907,0568;c(6.67821502685547, 46.5199546813965)
47;"R";"GCHAM_O";"Belmont-s-L., Grands-Champs";6;58087,89;1862,7665;c(6.67719411849976, 46.5231056213379)
47;"R";"CHNAU_O";"Pully, Chenaulaz";8;925,18115;151,09325;c(6.67279720306396, 46.5270767211914)
47;"R";"VVERT_P";"Pully, Val-Vert";9;69577,055;76487,8;c(6.66696691513062, 46.521900177002)
47;"R";"PREPA_D";"Pré Pariset";10;14464,982;3325,5947;c(6.66699981689453, 46.5186996459961)
47;"R";"VALON_S";"Vallon";11;5511,759;1680,4678;c(6.66699886322021, 46.5178070068359)
47;"R";"BOVRA_D";"Boverattes";12;18389,164;6712,5083;c(6.66557598114014, 46.5161972045898)
47;"R";"RTTAZ_S";"Rochettaz";13;8742,74;15585,992;c(6.66334104537964, 46.5138969421387)
47;"R";"CLERG_O";"Pully, Clergère";14;17049,605;69257,055;c(6.66149997711182, 46.5114631652832)
47;"R";"PLY-G_E";"Pully, gare";15;31321,479;72638,61;c(6.65886688232422, 46.5105819702148)
47;"R";"PREAU_O";"Préau";16;3281,7583;11064,334;c(6.65609884262085, 46.510139465332)
47;"R";"OSCHE_S";"Osches";17;1698,7798;10860,364;c(6.6542501449585, 46.509147644043)
47;"R";"CNIER_E";"Châtaignier";18;855,398;11505,458;c(6.65461492538452, 46.5064239501953)
47;"R";"SOMAI_E";"Somais";19;3773,4949;33947,363;c(6.65763378143311, 46.5066871643066)
47;"R";"PPORT_B";"Pully, port";20;0;34837,77;c(6.6616849899292, 46.5058517456055)
48;"A";"PLY-G_E";"Pully, gare";1;11244,527;0;c(6.65886688232422, 46.5105819702148)
48;"A";"PLY-C_9";"Pully, centre";2;43437,473;1031,1464;c(6.66028213500977, 46.5100975036621)
48;"A";"REYM_O ";"Reymondin";3;7755,3857;4076,233;c(6.66493892669678, 46.5096969604492)
48;"A";"CLERG_O";"Pully, Clergère";4;25173,121;4361,2495;c(6.66149997711182, 46.5114631652832)
48;"A";"MTILL_O";"Montillier";5;4746,4653;1311,8733;c(6.6569128036499, 46.5123596191406)
48;"A";"PDETT_O";"Perraudettaz";6;42624,914;18296,633;c(6.65421485900879, 46.5142135620117)
48;"A";"ROSES_N";"Roses";7;20824,557;29041,332;c(6.65662384033203, 46.5152168273926)
48;"A";"LIAUD_N";"Les Liaudes";8;5847,7744;42493,6;c(6.65653419494629, 46.5178604125977)
48;"A";"PAVIL_E";"Pavillard";9;3806,6016;18227,139;c(6.65835809707642, 46.5196838378906)
48;"A";"MAROL_N";"Margerol";10;3854,4404;22161,355;c(6.66101217269897, 46.5200347900391)
48;"A";"ROS_N  ";"Rosiaz";11;7639,6436;26530,805;c(6.66199922561646, 46.5220756530762)
48;"A";"BRUY_E ";"Bruyère";12;1472,978;23671,578;c(6.66301393508911, 46.5240135192871)
48;"A";"DTTES_B";"Daillettes";13;0;24658,848;c(6.66606521606445, 46.5230026245117)
48;"R";"DTTES_B";"Daillettes";1;20965,871;0;c(6.66606521606445, 46.5230026245117)
48;"R";"VVERT_D";"Pully, Val-Vert";2;16046,287;661,89044;c(6.66696691513062, 46.521900177002)
48;"R";"ROS_O  ";"Rosiaz";3;11300,627;751,2553;c(6.66243696212769, 46.5215454101562)
48;"R";"MAROL_S";"Margerol";4;19091,28;2187,3403;c(6.66083192825317, 46.5198707580566)
48;"R";"PAVIL_O";"Pavillard";5;20430,92;1782,9727;c(6.65864276885986, 46.5198097229004)
48;"R";"LIAUD_S";"Les Liaudes";6;16163,59;3402,22;c(6.65650796890259, 46.5178871154785)
48;"R";"ROSES_S";"Roses";7;8167,8184;15070,258;c(6.65619993209839, 46.5148277282715)
48;"R";"PDETT_E";"Perraudettaz";8;13222,23;24608,502;c(6.65440320968628, 46.5138359069824)
48;"R";"MTILL_E";"Montillier";9;479,01382;11161,307;c(6.65773487091064, 46.512321472168)
48;"R";"PLY-G_E";"Pully, gare";10;30531,756;54386,883;c(6.65886688232422, 46.5105819702148)
49;"A";"CLERG_T";"Pully, Clergère";1;68762,16;0;c(6.66141414642334, 46.5110778808594)
49;"A";"CLERG_N";"Pully, Clergère";2;16224,584;708,9486;c(6.66269588470459, 46.5116539001465)
49;"A";"RUISE_E";"Ruisselet";3;1691,0146;5213,902;c(6.66460800170898, 46.5127983093262)
49;"A";"CAUDO_E";"Caudoz";4;999,1353;12524,137;c(6.66699409484863, 46.511791229248)
49;"A";"CSROC_E";"Centre Sportif Rochettaz";5;1135,8789;8345,609;c(6.67017316818237, 46.5117835998535)
49;"A";"CHAFE_N";"Chaffeises";7;1578,1222;6973,6274;c(6.67369890213013, 46.514030456543)
49;"A";"BNOZ_N ";"Burenoz";8;7043,508;25773,23;c(6.67302179336548, 46.521312713623)
49;"A";"ROUVN_E";"Rouvène";9;836,41724;6832,6895;c(6.67475414276123, 46.5213966369629)
49;"A";"MALVX_N";"Malavaux";10;444,17108;10085,346;c(6.67640590667725, 46.520694732666)
49;"A";"GCHAM_O";"Belmont-s-L., Grands-Champs";11;402,17688;21622,703;c(6.67719411849976, 46.5231056213379)
49;"A";"GCHAM_E";"Belmont-s-L., Grands-Champs";12;0;201,20224;c(6.67737722396851, 46.522087097168)
49;"R";"GCHAM_E";"Belmont-s-L., Grands-Champs";1;9536,735;95,60002;c(6.67737722396851, 46.522087097168)
49;"R";"PQUI_N ";"Pâquis";2;5905,367;90,242294;c(6.67713022232056, 46.5202255249023)
49;"R";"ROUVN_O";"Rouvène";3;9171,261;762,29285;c(6.67481803894043, 46.5214767456055)
49;"R";"BNOZ_S ";"Burenoz";4;28558,996;2360,0833;c(6.67211294174194, 46.5210914611816)
49;"R";"CHAFE_S";"Chaffeises";5;7238,4736;1711,2837;c(6.67376518249512, 46.5139236450195)
49;"R";"CSROC_O";"Centre Sportif Rochettaz";7;3443,8813;1252,8816;c(6.66949605941772, 46.5117454528809)
49;"R";"CAUDO_O";"Caudoz";8;1828,107;490,70694;c(6.66764497756958, 46.5117950439453)
49;"R";"RUISE_O";"Ruisselet";9;914,9757;1113,7906;c(6.66451597213745, 46.5128593444824)
49;"R";"CLERG_O";"Pully, Clergère";10;1349,9224;45121,65;c(6.66149997711182, 46.5114631652832)
49;"R";"CLERG_T";"Pully, Clergère";11;0;16041,061;c(6.66141414642334, 46.5110778808594)
54;"A";"RCFFN_G";"Renens-Gare nord";1;31874,139;0;c(6.57955980300903, 46.5381240844727)
54;"A";"JURA_N ";"Jura";3;525,5302;1157,9858;c(6.57337188720703, 46.5419158935547)
54;"A";"ZING_N ";"Zinguerie";4;2072,5308;2852,19;c(6.57108116149902, 46.5441207885742)
54;"A";"MARCO_N";"Marcolet";5;1905,5541;7333,091;c(6.57492113113403, 46.5469398498535)
54;"A";"CHISA_N";"Crissier, Chisaz";6;225,44711;755,0119;c(6.57696485519409, 46.5503997802734)
54;"A";"CRISS_N";"Crissier, centre";7;1591,4149;1059,9941;c(6.57701683044434, 46.5536956787109)
54;"A";"TIMON_O";"Crissier, Timonet";8;1754,5859;947,1188;c(6.57431697845459, 46.555362701416)
54;"A";"CHATL_N";"Cheseaux-sur-Lausanne, Châtelard";10;1639,7749;6180,7944;c(6.5924391746521, 46.578125)
54;"A";"MARTH_N";"Cheseaux-sur-Lausanne, Martheray";11;780,8598;4463,68;c(6.59722423553467, 46.581714630127)
54;"A";"CHESG_B";"Cheseaux-sur-Lausanne, gare";12;232,6824;15412,605;c(6.60513114929199, 46.5841941833496)
54;"A";"MORGS_E";"Morrens VD, Grande Salle";14;301,24194;149,98137;c(6.62678289413452, 46.589900970459)
54;"A";"CUGY_S ";"Cugy VD, village";17;258,23013;336,4978;c(6.64045810699463, 46.5854568481445)
54;"A";"CUGYP_S";"Cugy VD, poste";18;29,444077;231,28464;c(6.63878679275513, 46.5837593078613)
54;"A";"CAVEN_S";"Cugy VD, Cavenette";19;30,076702;18,520535;c(6.63564491271973, 46.5801239013672)
54;"A";"BUDR_S ";"Le Mont-s-L., Budron";21;20,73323;22,497974;c(6.63332986831665, 46.5752220153809)
54;"A";"FOUGE_S";"Le Mont-s-L., Fougères";22;26,926226;22,535507;c(6.63425016403198, 46.5704307556152)
54;"A";"ETAVZ_S";"Le Mont-s-L., Etavez";23;8,68389;15,894911;c(6.63398790359497, 46.566104888916)
54;"A";"GMONT_B";"Grand-Mont";24;0;477,72144;c(6.63278102874756, 46.5630989074707)
60;"A";"FLON_I ";"Lausanne-Flon";1;223718,6;0;c(6.63090181350708, 46.5204162597656)
60;"A";"BESS_M ";"Bessières";2;56676,85;4516,704;c(6.6368842124939, 46.5212898254395)
60;"A";"TNEL_N ";"Tunnel";3;19805,584;5637,8823;c(6.6344780921936, 46.5261993408203)
60;"A";"BELVO_N";"Bellevaux";4;21559,469;20687,191;c(6.63373613357544, 46.5392646789551)
60;"A";"COPOP_N";"Coppoz-Poste";6;10535,771;15417,201;c(6.63554286956787, 46.5571632385254)
60;"A";"GMONT_N";"Grand-Mont";7;4800,589;8740,897;c(6.63398694992065, 46.5635223388672)
60;"A";"ETAVZ_N";"Le Mont-s-L., Etavez";8;898,7676;4070,4048;c(6.6342568397522, 46.5664024353027)
60;"A";"FOUGE_N";"Le Mont-s-L., Fougères";9;2609,4963;43814,79;c(6.63363218307495, 46.5715866088867)
60;"A";"BUDR_N ";"Le Mont-s-L., Budron";10;2251,4082;25118,844;c(6.63359689712524, 46.5757064819336)
60;"A";"CAVEN_N";"Cugy VD, Cavenette";12;3812,3428;12086,455;c(6.63579988479614, 46.5802040100098)
60;"A";"CUGYP_N";"Cugy VD, poste";13;16868,469;19096,598;c(6.63886594772339, 46.5837249755859)
60;"A";"CUGY_N ";"Cugy VD, village";14;16111,237;40656,355;c(6.64062690734863, 46.5855102539062)
60;"A";"MLIN_N ";"Cugy VD, Le Moulin";15;4857,898;50559,39;c(6.64260005950928, 46.5888977050781)
60;"R";"BOTTE_D";"Bottens, croisée";1;36853,316;2809,3943;c(6.65996980667114, 46.6167984008789)
60;"R";"FROIL_B";"Froideville, Laiterie";6;64176,035;0;c(6.68245220184326, 46.6009368896484)
60;"R";"MLIN_S ";"Cugy VD, Le Moulin";10;48216,832;5414,8774;c(6.64239311218262, 46.5887603759766)
60;"R";"CUGY_S ";"Cugy VD, village";11;41998,38;22168,588;c(6.64045810699463, 46.5854568481445)
60;"R";"CUGYP_S";"Cugy VD, poste";12;17164,004;14844,354;c(6.63878679275513, 46.5837593078613)
60;"R";"CAVEN_S";"Cugy VD, Cavenette";13;13928,774;900,9303;c(6.63564491271973, 46.5801239013672)
60;"R";"BUDR_S ";"Le Mont-s-L., Budron";15;19414,182;3783,2983;c(6.63332986831665, 46.5752220153809)
60;"R";"FOUGE_S";"Le Mont-s-L., Fougères";16;23998,246;4104,4526;c(6.63425016403198, 46.5704307556152)
60;"R";"ETAVZ_S";"Le Mont-s-L., Etavez";17;3687,7715;649,19867;c(6.63398790359497, 46.566104888916)
60;"R";"GMONT_S";"Grand-Mont";18;7643,1904;7328,3955;c(6.63429880142212, 46.5627326965332)
60;"R";"COPOP_S";"Coppoz-Poste";19;12182,683;8621,163;c(6.63547897338867, 46.557056427002)
60;"R";"BELVO_S";"Bellevaux";21;14163,006;22071,049;c(6.63360023498535, 46.539623260498)
60;"R";"TNEL_S ";"Tunnel";22;5022,9473;49479,21;c(6.63404178619385, 46.5257377624512)
60;"R";"BESS_D ";"Bessières";23;6278,114;64947,18;c(6.6366491317749, 46.5212669372559)
60;"R";"FLON_I ";"Lausanne-Flon";24;0;197710,73;c(6.63090181350708, 46.5204162597656)
62;"A";"CROIS_B";"Epalinges, Croisettes";1;270234,7;0;c(6.66161823272705, 46.5431137084961)
62;"A";"LION_N ";"Lion d'Or";2;1915,58;21107,713;c(6.68121910095215, 46.5520782470703)
62;"A";"MARIN_N";"En Marin";4;1252,2548;13304,781;c(6.68432521820068, 46.5574989318848)
62;"A";"VBOIS_N";"Vert-Bois";5;1451,1777;4311,965;c(6.68740701675415, 46.5627708435059)
62;"A";"CHT_N  ";"Chalet-à-Gobet";6;4051,2412;16381,922;c(6.69164514541626, 46.5647087097168)
62;"A";"CHFON_N";"Lausanne, Chalet-Fontaine";7;854,3021;2848,5652;c(6.69972991943359, 46.5677299499512)
62;"A";"STCAT_N";"Lausanne, Ste-Catherine";8;272,44763;2041,2437;c(6.70901107788086, 46.571044921875)
62;"A";"RGRAU_N";"Montpreveyres, Riau-Graubon";10;337,1036;4383,7964;c(6.72410202026367, 46.5750732421875)
62;"A";"BALAN_N";"Montpreveyres, Balances";11;1205,9313;4496,3916;c(6.73610877990723, 46.5756492614746)
62;"A";"MPREV_N";"Montpreveyres, village";12;7071,538;17293,375;c(6.74339008331299, 46.5826759338379)
62;"A";"CORC_N ";"Ropraz, Corcelles-Jorat";14;514,79736;2906,0017;c(6.7454719543457, 46.5912017822266)
62;"A";"HOMEJ_N";"Ropraz, Home du Jorat";15;1818,7649;2094,4543;c(6.75021409988403, 46.5948791503906)
62;"A";"USSRO_N";"Ropraz, Ussières";16;616,72107;3232,664;c(6.75563192367554, 46.6009330749512)
62;"A";"ECORC_E";"Carrouge VD, Ecorcheboeuf";18;5558,9976;10800,35;c(6.75951194763184, 46.5974731445312)
62;"A";"CX-OR_E";"Carrouge VD, Croix d'Or";19;1073,6741;4949,349;c(6.76435279846191, 46.5986175537109)
62;"A";"MEZ-V_N";"Mézières VD, village";21;10644,419;46573,6;c(6.77048778533936, 46.5963859558105)
62;"A";"MEZ-S_N";"Mézières VD, station";22;3245,3428;16421,201;c(6.77149391174316, 46.5994873046875)
